"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","730","1.45%","96.18%","29","0.77%","3.82%","759","1.40%"
"Twenties (20-29)","14,603","29.00%","93.61%","996","26.39%","6.39%","15,599","28.82%"
"Thirties (30-39)","15,165","30.11%","91.94%","1,329","35.21%","8.06%","16,494","30.47%"
"Forties (40-49)","10,232","20.32%","92.21%","865","22.92%","7.79%","11,097","20.50%"
"Fifties (50-59)","6,763","13.43%","93.97%","434","11.50%","6.03%","7,197","13.30%"
"Sixties (60-69)","2,279","4.53%","95.72%","102","2.70%","4.28%","2,381","4.40%"
"Seventy + (70 and above)","587","1.17%","96.86%","19","0.50%","3.14%","606","1.12%"
"Total Reported","50,359","100%","93.03%","3,774","100%","6.97%","54,133","100.0%"
"Not Reported","183","","","1","","","184",""
"Grand Total","50,542","","","3,775","","","54,317",""
