"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","3,038","6.19%","95.53%","142","3.97%","4.47%","3,180","6.04%"
"Twenties","15,808","32.21%","93.83%","1,039","29.05%","6.17%","16,847","31.99%"
"Thirties","14,132","28.79%","92.05%","1,221","34.14%","7.95%","15,353","29.16%"
"Forties","11,211","22.84%","92.42%","920","25.73%","7.58%","12,131","23.04%"
"Fifties","3,885","7.92%","94.73%","216","6.04%","5.27%","4,101","7.79%"
"Sixties","858","1.75%","96.30%","33","0.92%","3.70%","891","1.69%"
"Seventy +","150","0.31%","96.77%","5","0.14%","3.23%","155","0.29%"
"Total Reported","49,082","100%","93.21%","3,576","100%","6.79%","52,658","100%"
"Not Reported","1","","","0","","","1",""
"Grand Total","49,083","","","3,576","","","52,659",""
