"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","705","1.41%","96.84%","23","0.61%","3.16%","728","1.36%"
"Twenties (20-29)","14,686","29.43%","93.54%","1,014","27.05%","6.46%","15,700","29.26%"
"Thirties (30-39)","14,931","29.92%","91.98%","1,302","34.73%","8.02%","16,233","30.25%"
"Forties (40-49)","10,140","20.32%","92.16%","863","23.02%","7.84%","11,003","20.51%"
"Fifties (50-59)","6,726","13.48%","93.87%","439","11.71%","6.13%","7,165","13.35%"
"Sixties (60-69)","2,161","4.33%","95.83%","94","2.51%","4.17%","2,255","4.20%"
"Seventy + (70 and above)","557","1.12%","97.55%","14","0.37%","2.45%","571","1.06%"
"Total Reported","49,906","100%","93.01%","3,749","100%","6.99%","53,655","100%"
"Not Reported","156","","","1","","","157",""
"Grand Total","50,062","","","3,750","","","53,812",""
