"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","932","1.77%","97.18%","27","0.70%","2.82%","959","1.70%"
"Twenties (20-29)","16,308","30.96%","93.85%","1,069","27.68%","6.15%","17,377","30.73%"
"Thirties (30-39)","15,316","29.07%","92.22%","1,293","33.48%","7.78%","16,609","29.37%"
"Forties (40-49)","11,269","21.39%","92.01%","979","25.35%","7.99%","12,248","21.66%"
"Fifties (50-59)","6,564","12.46%","94.19%","405","10.49%","5.81%","6,969","12.33%"
"Sixties (60-69)","1,737","3.30%","95.81%","76","1.97%","4.19%","1,813","3.21%"
"Seventy + (70 and above)","555","1.05%","97.71%","13","0.34%","2.29%","568","1.00%"
"Total Reported","52,681","100%","93.17%","3,862","100%","6.83%","56,543","100%"
"Not Reported","46","","","1","","","47",""
"Grand Total","52,727","","","3,863","","","56,590",""
