"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","657","1.33%","96.33%","25","0.70%","3.67%","682","1.29%"
"Twenties (20-29)","14,483","29.42%","93.74%","968","26.95%","6.26%","15,451","29.25%"
"Thirties (30-39)","14,721","29.91%","92.27%","1,234","34.35%","7.73%","15,955","30.21%"
"Forties (40-49)","10,018","20.35%","92.34%","831","23.13%","7.66%","10,849","20.54%"
"Fifties (50-59)","6,678","13.57%","93.99%","427","11.89%","6.01%","7,105","13.45%"
"Sixties (60-69)","2,114","4.29%","95.83%","92","2.56%","4.17%","2,206","4.18%"
"Seventy + (70 and above)","553","1.12%","97.36%","15","0.42%","2.64%","568","1.08%"
"Total Reported","49,224","100%","93.20%","3,592","100%","6.80%","52,816","100%"
"Not Reported","155","","","1","","","156",""
"Grand Total","49,379","","","3,593","","","52,972",""
