"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","841","1.64%","97.45%","22","0.60%","2.55%","863","1.57%"
"Twenties (20-29)","15,832","30.93%","93.89%","1,030","28.00%","6.11%","16,862","30.73%"
"Thirties (30-39)","14,849","29.01%","92.51%","1,203","32.70%","7.49%","16,052","29.25%"
"Forties (40-49)","10,821","21.14%","92.05%","934","25.39%","7.95%","11,755","21.42%"
"Fifties (50-59)","6,517","12.73%","94.30%","394","10.71%","5.70%","6,911","12.60%"
"Sixties (60-69)","1,776","3.47%","95.59%","82","2.23%","4.41%","1,858","3.39%"
"Seventy + (70 and above)","555","1.08%","97.54%","14","0.38%","2.46%","569","1.04%"
"Total Reported","51,191","100%","93.30%","3,679","100%","6.70%","54,870","100%"
"Not Reported","78","","","1","","","79",""
"Grand Total","51,269","","","3,680","","","54,949",""
