"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","756","1.50%","96.43%","28","0.73%","3.57%","784","1.44%"
"Twenties (20-29)","14,655","29.02%","93.53%","1,013","26.50%","6.47%","15,668","28.84%"
"Thirties (30-39)","15,197","30.09%","91.85%","1,349","35.29%","8.15%","16,546","30.46%"
"Forties (40-49)","10,263","20.32%","92.16%","873","22.84%","7.84%","11,136","20.50%"
"Fifties (50-59)","6,783","13.43%","93.90%","441","11.54%","6.10%","7,224","13.30%"
"Sixties (60-69)","2,267","4.49%","95.73%","101","2.64%","4.27%","2,368","4.36%"
"Seventy + (70 and above)","579","1.15%","96.98%","18","0.47%","3.02%","597","1.10%"
"Total Reported","50,500","100%","92.96%","3,823","100%","7.04%","54,323","100%"
"Not Reported","181","","","1","","","182",""
"Grand Total","50,681","","","3,824","","","54,505",""
