"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","2,775","6.00%","96.52%","100","3.25%","3.48%","2,875","5.83%"
"Twenties","14,771","31.94%","94.32%","889","28.89%","5.68%","15,660","31.75%"
"Thirties","13,578","29.36%","92.71%","1,067","34.68%","7.29%","14,645","29.69%"
"Forties","10,555","22.83%","92.94%","802","26.06%","7.06%","11,357","23.03%"
"Fifties","3,607","7.80%","95.27%","179","5.82%","4.73%","3,786","7.68%"
"Sixties","820","1.77%","95.68%","37","1.20%","4.32%","857","1.74%"
"Seventy +","137","0.30%","97.86%","3","0.10%","2.14%","140","0.28%"
"Total Reported","46,243","100%","93.76%","3,077","100%","6.24%","49,320","100%"
"Not Reported","1","","","0","","","1",""
"Grand Total","46,244","","","3,077","","","49,321",""
