"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","287","0.66%","95.67%","13","0.42%","4.33%","300","0.64%"
"Twenties (20-29)","9,866","22.64%","93.77%","656","21.10%","6.23%","10,522","22.54%"
"Thirties (30-39)","13,611","31.23%","92.42%","1,116","35.90%","7.58%","14,727","31.54%"
"Forties (40-49)","10,032","23.02%","92.78%","781","25.12%","7.22%","10,813","23.16%"
"Fifties (50-59)","6,192","14.21%","94.03%","393","12.64%","5.97%","6,585","14.10%"
"Sixties (60-69)","2,858","6.56%","95.62%","131","4.21%","4.38%","2,989","6.40%"
"Seventy + (70 and above)","732","1.68%","97.47%","19","0.61%","2.53%","751","1.61%"
"Total Reported","43,578","100%","93.34%","3,109","100%","6.66%","46,687","100%"
"Not Reported","362","","","1","","","363",""
"Grand Total","43,940","","","3,110","","","47,050",""
