"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","655","1.29%","94.52%","38","0.96%","5.48%","693","1.27%"
"Twenties (20-29)","13,535","26.65%","93.04%","1,012","25.45%","6.96%","14,547","26.57%"
"Thirties (30-39)","15,489","30.50%","91.48%","1,442","36.27%","8.52%","16,931","30.92%"
"Forties (40-49)","10,838","21.34%","92.51%","877","22.06%","7.49%","11,715","21.39%"
"Fifties (50-59)","7,022","13.83%","93.81%","463","11.64%","6.19%","7,485","13.67%"
"Sixties (60-69)","2,593","5.11%","95.51%","122","3.07%","4.49%","2,715","4.96%"
"Seventy + (70 and above)","649","1.28%","96.72%","22","0.55%","3.28%","671","1.23%"
"Total Reported","50,781","100%","92.74%","3,976","100%","7.26%","54,757","100.0%"
"Not Reported","289","","","1","","","290",""
"Grand Total","51,070","","","3,977","","","55,047",""
