"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,855","19.64%","91.18%","953","26.84%","8.82%","10,808","20.11%"
"1 to 1.99 years","7,837","15.62%","91.65%","714","20.11%","8.35%","8,551","15.91%"
"2 to 2.99 years","6,029","12.01%","92.61%","481","13.55%","7.39%","6,510","12.11%"
"3 to 3.99 years","4,016","8.00%","93.16%","295","8.31%","6.84%","4,311","8.02%"
"4 to 4.99 years","3,463","6.90%","93.39%","245","6.90%","6.61%","3,708","6.90%"
"5 to 5.99 years","2,583","5.15%","94.30%","156","4.39%","5.70%","2,739","5.10%"
"6 to 6.99 years","2,486","4.95%","95.29%","123","3.46%","4.71%","2,609","4.86%"
"7 to 7.99 years","1,913","3.81%","94.70%","107","3.01%","5.30%","2,020","3.76%"
"8 to 8.99 years","1,474","2.94%","94.37%","88","2.48%","5.63%","1,562","2.91%"
"9 to 9.99 years","1,260","2.51%","94.95%","67","1.89%","5.05%","1,327","2.47%"
"10 to 10.99 years","946","1.88%","94.98%","50","1.41%","5.02%","996","1.85%"
"11 to 11.99 years","880","1.75%","95.65%","40","1.13%","4.35%","920","1.71%"
"12 to 12.99 years","796","1.59%","96.48%","29","0.82%","3.52%","825","1.54%"
"13 to 13.99 years","725","1.44%","96.41%","27","0.76%","3.59%","752","1.40%"
"14 to 14.99 years","675","1.34%","95.74%","30","0.84%","4.26%","705","1.31%"
"15 to 15.99 years","570","1.14%","95.16%","29","0.82%","4.84%","599","1.11%"
"16 to 16.99 years","629","1.25%","97.82%","14","0.39%","2.18%","643","1.20%"
"17 to 17.99 years","545","1.09%","97.67%","13","0.37%","2.33%","558","1.04%"
"18 to 18.99 years","506","1.01%","96.56%","18","0.51%","3.44%","524","0.98%"
"19 to 19.99 years","429","0.85%","96.84%","14","0.39%","3.16%","443","0.82%"
"20 to 20.99 years","366","0.73%","96.57%","13","0.37%","3.43%","379","0.71%"
"21 to 21.99 years","282","0.56%","96.91%","9","0.25%","3.09%","291","0.54%"
"22 to 22.99 years","282","0.56%","96.91%","9","0.25%","3.09%","291","0.54%"
"23 to 23.99 years","211","0.42%","97.24%","6","0.17%","2.76%","217","0.40%"
"24 to 24.99 years","166","0.33%","98.22%","3","0.08%","1.78%","169","0.31%"
"25 to 25.99 years","169","0.34%","98.26%","3","0.08%","1.74%","172","0.32%"
"26 to 26.99 years","152","0.30%","98.06%","3","0.08%","1.94%","155","0.29%"
"27 to 27.99 years","108","0.22%","100.00%","","","","108","0.20%"
"28 to 28.99 years","101","0.20%","97.12%","3","0.08%","2.88%","104","0.19%"
"29 to 29.99 years","83","0.17%","97.65%","2","0.06%","2.35%","85","0.16%"
"Thirty + years","649","1.29%","98.93%","7","0.20%","1.07%","656","1.22%"
"Total Reported","50,186","100%","93.39%","3,551","100%","6.61%","53,737","100%"
