"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","7,401","15.72%","88.77%","936","27.87%","11.23%","8,337","16.53%"
"1 to 1.99 years","10,066","21.39%","90.99%","997","29.69%","9.01%","11,063","21.94%"
"2 to 2.99 years","6,581","13.98%","93.47%","460","13.70%","6.53%","7,041","13.96%"
"3 to 3.99 years","3,955","8.40%","95.03%","207","6.16%","4.97%","4,162","8.25%"
"4 to 4.99 years","2,903","6.17%","95.52%","136","4.05%","4.48%","3,039","6.03%"
"5 to 5.99 years","2,231","4.74%","95.18%","113","3.37%","4.82%","2,344","4.65%"
"6 to 6.99 years","2,015","4.28%","96.00%","84","2.50%","4.00%","2,099","4.16%"
"7 to 7.99 years","1,662","3.53%","95.63%","76","2.26%","4.37%","1,738","3.45%"
"8 to 8.99 years","1,565","3.33%","96.01%","65","1.94%","3.99%","1,630","3.23%"
"9 to 9.99 years","1,548","3.29%","96.21%","61","1.82%","3.79%","1,609","3.19%"
"10 to 10.99 years","1,144","2.43%","96.46%","42","1.25%","3.54%","1,186","2.35%"
"11 to 11.99 years","910","1.93%","97.22%","26","0.77%","2.78%","936","1.86%"
"12 to 12.99 years","780","1.66%","96.65%","27","0.80%","3.35%","807","1.60%"
"13 to 13.99 years","693","1.47%","96.25%","27","0.80%","3.75%","720","1.43%"
"14 to 14.99 years","673","1.43%","96.70%","23","0.68%","3.30%","696","1.38%"
"15 to 15.99 years","454","0.96%","96.60%","16","0.48%","3.40%","470","0.93%"
"16 to 16.99 years","446","0.95%","97.38%","12","0.36%","2.62%","458","0.91%"
"17 to 17.99 years","362","0.77%","95.51%","17","0.51%","4.49%","379","0.75%"
"18 to 18.99 years","286","0.61%","98.28%","5","0.15%","1.72%","291","0.58%"
"19 to 19.99 years","269","0.57%","96.76%","9","0.27%","3.24%","278","0.55%"
"20 to 20.99 years","207","0.44%","97.64%","5","0.15%","2.36%","212","0.42%"
"21 to 21.99 years","155","0.33%","99.36%","1","0.03%","0.64%","156","0.31%"
"22 to 22.99 years","140","0.30%","98.59%","2","0.06%","1.41%","142","0.28%"
"23 to 23.99 years","119","0.25%","95.97%","5","0.15%","4.03%","124","0.25%"
"24 to 24.99 years","83","0.18%","98.81%","1","0.03%","1.19%","84","0.17%"
"25 to 25.99 years","76","0.16%","97.44%","2","0.06%","2.56%","78","0.15%"
"26 to 26.99 years","68","0.14%","100.00%","","","","68","0.13%"
"27 to 27.99 years","60","0.13%","98.36%","1","0.03%","1.64%","61","0.12%"
"28 to 28.99 years","40","0.08%","97.56%","1","0.03%","2.44%","41","0.08%"
"29 to 29.99 years","41","0.09%","100.00%","","","","41","0.08%"
"Thirty + years","134","0.28%","99.26%","1","0.03%","0.74%","135","0.27%"
"Total Reported","47,067","100%","93.34%","3,358","100%","6.66%","50,425","100%"
