"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,888","19.36%","91.13%","963","26.49%","8.87%","10,851","19.83%"
"1 to 1.99 years","8,432","16.51%","91.62%","771","21.21%","8.38%","9,203","16.82%"
"2 to 2.99 years","6,164","12.07%","92.93%","469","12.90%","7.07%","6,633","12.12%"
"3 to 3.99 years","4,102","8.03%","92.93%","312","8.58%","7.07%","4,414","8.07%"
"4 to 4.99 years","3,427","6.71%","93.18%","251","6.91%","6.82%","3,678","6.72%"
"5 to 5.99 years","2,867","5.61%","94.28%","174","4.79%","5.72%","3,041","5.56%"
"6 to 6.99 years","2,486","4.87%","94.81%","136","3.74%","5.19%","2,622","4.79%"
"7 to 7.99 years","1,783","3.49%","94.69%","100","2.75%","5.31%","1,883","3.44%"
"8 to 8.99 years","1,408","2.76%","94.62%","80","2.20%","5.38%","1,488","2.72%"
"9 to 9.99 years","1,303","2.55%","95.46%","62","1.71%","4.54%","1,365","2.49%"
"10 to 10.99 years","1,011","1.98%","94.84%","55","1.51%","5.16%","1,066","1.95%"
"11 to 11.99 years","875","1.71%","95.84%","38","1.05%","4.16%","913","1.67%"
"12 to 12.99 years","798","1.56%","97.32%","22","0.61%","2.68%","820","1.50%"
"13 to 13.99 years","714","1.40%","95.97%","30","0.83%","4.03%","744","1.36%"
"14 to 14.99 years","652","1.28%","96.02%","27","0.74%","3.98%","679","1.24%"
"15 to 15.99 years","627","1.23%","96.17%","25","0.69%","3.83%","652","1.19%"
"16 to 16.99 years","641","1.25%","96.97%","20","0.55%","3.03%","661","1.21%"
"17 to 17.99 years","520","1.02%","96.65%","18","0.50%","3.35%","538","0.98%"
"18 to 18.99 years","493","0.97%","97.62%","12","0.33%","2.38%","505","0.92%"
"19 to 19.99 years","434","0.85%","95.38%","21","0.58%","4.62%","455","0.83%"
"20 to 20.99 years","330","0.65%","98.21%","6","0.17%","1.79%","336","0.61%"
"21 to 21.99 years","275","0.54%","96.15%","11","0.30%","3.85%","286","0.52%"
"22 to 22.99 years","277","0.54%","97.54%","7","0.19%","2.46%","284","0.52%"
"23 to 23.99 years","186","0.36%","96.88%","6","0.17%","3.13%","192","0.35%"
"24 to 24.99 years","177","0.35%","98.88%","2","0.06%","1.12%","179","0.33%"
"25 to 25.99 years","170","0.33%","97.14%","5","0.14%","2.86%","175","0.32%"
"26 to 26.99 years","128","0.25%","100.00%","","","","128","0.23%"
"27 to 27.99 years","113","0.22%","98.26%","2","0.06%","1.74%","115","0.21%"
"28 to 28.99 years","90","0.18%","97.83%","2","0.06%","2.17%","92","0.17%"
"29 to 29.99 years","82","0.16%","98.80%","1","0.03%","1.20%","83","0.15%"
"Thirty + years","626","1.23%","98.89%","7","0.19%","1.11%","633","1.16%"
"Total Reported","51,079","100%","93.36%","3,635","100%","6.64%","54,714","100%"
