"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","8,568","17.17%","88.45%","1,119","30.02%","11.55%","9,687","18.06%"
"1 to 1.99 years","10,105","20.25%","90.82%","1,020","27.37%","9.17%","11,127","20.75%"
"2 to 2.99 years","7,032","14.09%","93.34%","500","13.42%","6.64%","7,534","14.05%"
"3 to 3.99 years","4,488","8.99%","94.15%","279","7.49%","5.85%","4,767","8.89%"
"4 to 4.99 years","3,069","6.15%","94.72%","171","4.59%","5.28%","3,240","6.04%"
"5 to 5.99 years","2,060","4.13%","95.86%","89","2.39%","4.14%","2,149","4.01%"
"6 to 6.99 years","1,861","3.73%","95.63%","85","2.28%","4.37%","1,946","3.63%"
"7 to 7.99 years","1,690","3.39%","95.70%","76","2.04%","4.30%","1,766","3.29%"
"8 to 8.99 years","1,473","2.95%","95.59%","68","1.82%","4.41%","1,541","2.87%"
"9 to 9.99 years","1,334","2.67%","96.32%","51","1.37%","3.68%","1,385","2.58%"
"10 to 10.99 years","1,001","2.01%","95.88%","43","1.15%","4.12%","1,044","1.95%"
"11 to 11.99 years","942","1.89%","95.83%","41","1.10%","4.17%","983","1.83%"
"12 to 12.99 years","910","1.82%","97.22%","26","0.70%","2.78%","936","1.75%"
"13 to 13.99 years","834","1.67%","97.09%","25","0.67%","2.91%","859","1.60%"
"14 to 14.99 years","729","1.46%","97.07%","22","0.59%","2.93%","751","1.40%"
"15 to 15.99 years","561","1.12%","96.56%","20","0.54%","3.44%","581","1.08%"
"16 to 16.99 years","552","1.11%","96.17%","22","0.59%","3.83%","574","1.07%"
"17 to 17.99 years","422","0.85%","97.01%","13","0.35%","2.99%","435","0.81%"
"18 to 18.99 years","416","0.83%","96.97%","13","0.35%","3.03%","429","0.80%"
"19 to 19.99 years","347","0.70%","96.66%","12","0.32%","3.34%","359","0.67%"
"20 to 20.99 years","232","0.46%","97.89%","5","0.13%","2.11%","237","0.44%"
"21 to 21.99 years","215","0.43%","96.85%","7","0.19%","3.15%","222","0.41%"
"22 to 22.99 years","192","0.38%","96.00%","8","0.21%","4.00%","200","0.37%"
"23 to 23.99 years","145","0.29%","99.32%","1","0.03%","0.68%","146","0.27%"
"24 to 24.99 years","143","0.29%","97.95%","3","0.08%","2.05%","146","0.27%"
"25 to 25.99 years","104","0.21%","96.30%","4","0.11%","3.70%","108","0.20%"
"26 to 26.99 years","92","0.18%","98.92%","1","0.03%","1.08%","93","0.17%"
"27 to 27.99 years","55","0.11%","100.00%","","","","55","0.10%"
"28 to 28.99 years","68","0.14%","100.00%","","","","68","0.13%"
"29 to 29.99 years","43","0.09%","97.73%","1","0.03%","2.27%","44","0.08%"
"Thirty + years","217","0.43%","99.09%","2","0.05%","0.91%","219","0.41%"
"Total Reported","49,900","100%","93.04%","3,727","100%","6.95%","53,631","100%"
