"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","7,973","16.44%","91.46%","744","21.32%","8.54%","8,717","16.77%"
"1 to 1.99 years","7,143","14.73%","91.10%","698","20.00%","8.90%","7,841","15.09%"
"2 to 2.99 years","5,302","10.94%","91.30%","505","14.47%","8.70%","5,807","11.17%"
"3 to 3.99 years","4,056","8.37%","93.56%","279","7.99%","6.44%","4,335","8.34%"
"4 to 4.99 years","3,276","6.76%","93.84%","215","6.16%","6.16%","3,491","6.72%"
"5 to 5.99 years","2,594","5.35%","92.68%","205","5.87%","7.32%","2,799","5.39%"
"6 to 6.99 years","2,218","4.57%","94.66%","125","3.58%","5.34%","2,343","4.51%"
"7 to 7.99 years","1,938","4.00%","93.80%","128","3.67%","6.20%","2,066","3.97%"
"8 to 8.99 years","1,770","3.65%","95.06%","92","2.64%","4.94%","1,862","3.58%"
"9 to 9.99 years","1,494","3.08%","94.74%","83","2.38%","5.26%","1,577","3.03%"
"10 to 10.99 years","1,054","2.17%","94.28%","64","1.83%","5.72%","1,118","2.15%"
"11 to 11.99 years","933","1.92%","95.89%","40","1.15%","4.11%","973","1.87%"
"12 to 12.99 years","951","1.96%","95.77%","42","1.20%","4.23%","993","1.91%"
"13 to 13.99 years","818","1.69%","96.12%","33","0.95%","3.88%","851","1.64%"
"14 to 14.99 years","694","1.43%","95.72%","31","0.89%","4.28%","725","1.39%"
"15 to 15.99 years","516","1.06%","94.85%","28","0.80%","5.15%","544","1.05%"
"16 to 16.99 years","483","1.00%","94.89%","26","0.74%","5.11%","509","0.98%"
"17 to 17.99 years","523","1.08%","95.09%","27","0.77%","4.91%","550","1.06%"
"18 to 18.99 years","429","0.88%","96.84%","14","0.40%","3.16%","443","0.85%"
"19 to 19.99 years","442","0.91%","97.79%","10","0.29%","2.21%","452","0.87%"
"20 to 20.99 years","350","0.72%","94.85%","19","0.54%","5.15%","369","0.71%"
"21 to 21.99 years","324","0.67%","95.29%","16","0.46%","4.71%","340","0.65%"
"22 to 22.99 years","367","0.76%","97.09%","11","0.32%","2.91%","378","0.73%"
"23 to 23.99 years","348","0.72%","97.48%","9","0.26%","2.52%","357","0.69%"
"24 to 24.99 years","316","0.65%","96.64%","11","0.32%","3.36%","327","0.63%"
"25 to 25.99 years","304","0.63%","97.12%","9","0.26%","2.88%","313","0.60%"
"26 to 26.99 years","255","0.53%","97.70%","6","0.17%","2.30%","261","0.50%"
"27 to 27.99 years","190","0.39%","98.96%","2","0.06%","1.04%","192","0.37%"
"28 to 28.99 years","174","0.36%","96.67%","6","0.17%","3.33%","180","0.35%"
"29 to 29.99 years","146","0.30%","98.65%","2","0.06%","1.35%","148","0.28%"
"Thirty + years","1,105","2.28%","99.10%","10","0.29%","0.90%","1,115","2.15%"
"Total Reported","48,486","100%","93.29%","3,490","100%","6.71%","51,976","100%"
