"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,340","18.46%","90.64%","965","25.29%","9.36%","10,305","18.94%"
"1 to 1.99 years","7,523","14.87%","91.84%","668","17.51%","8.16%","8,191","15.06%"
"2 to 2.99 years","5,398","10.67%","91.32%","513","13.45%","8.68%","5,911","10.86%"
"3 to 3.99 years","4,152","8.21%","92.25%","349","9.15%","7.75%","4,501","8.27%"
"4 to 4.99 years","3,466","6.85%","92.40%","285","7.47%","7.60%","3,751","6.89%"
"5 to 5.99 years","2,844","5.62%","93.31%","204","5.35%","6.69%","3,048","5.60%"
"6 to 6.99 years","2,436","4.82%","93.91%","158","4.14%","6.09%","2,594","4.77%"
"7 to 7.99 years","1,844","3.64%","94.42%","109","2.86%","5.58%","1,953","3.59%"
"8 to 8.99 years","1,763","3.48%","94.18%","109","2.86%","5.82%","1,872","3.44%"
"9 to 9.99 years","1,450","2.87%","95.96%","61","1.60%","4.04%","1,511","2.78%"
"10 to 10.99 years","1,267","2.50%","95.26%","63","1.65%","4.74%","1,330","2.44%"
"11 to 11.99 years","995","1.97%","96.41%","37","0.97%","3.59%","1,032","1.90%"
"12 to 12.99 years","744","1.47%","94.90%","40","1.05%","5.10%","784","1.44%"
"13 to 13.99 years","683","1.35%","95.52%","32","0.84%","4.48%","715","1.31%"
"14 to 14.99 years","673","1.33%","95.46%","32","0.84%","4.54%","705","1.30%"
"15 to 15.99 years","542","1.07%","95.09%","28","0.73%","4.91%","570","1.05%"
"16 to 16.99 years","532","1.05%","97.26%","15","0.39%","2.74%","547","1.01%"
"17 to 17.99 years","505","1.00%","95.64%","23","0.60%","4.36%","528","0.97%"
"18 to 18.99 years","443","0.88%","95.27%","22","0.58%","4.73%","465","0.85%"
"19 to 19.99 years","458","0.91%","96.02%","19","0.50%","3.98%","477","0.88%"
"20 to 20.99 years","426","0.84%","97.48%","11","0.29%","2.52%","437","0.80%"
"21 to 21.99 years","381","0.75%","97.94%","8","0.21%","2.06%","389","0.71%"
"22 to 22.99 years","353","0.70%","96.45%","13","0.34%","3.55%","366","0.67%"
"23 to 23.99 years","311","0.61%","97.19%","9","0.24%","2.81%","320","0.59%"
"24 to 24.99 years","292","0.58%","97.66%","7","0.18%","2.34%","299","0.55%"
"25 to 25.99 years","208","0.41%","96.74%","7","0.18%","3.26%","215","0.40%"
"26 to 26.99 years","223","0.44%","96.12%","9","0.24%","3.88%","232","0.43%"
"27 to 27.99 years","147","0.29%","96.08%","6","0.16%","3.92%","153","0.28%"
"28 to 28.99 years","122","0.24%","98.39%","2","0.05%","1.61%","124","0.23%"
"29 to 29.99 years","140","0.28%","99.29%","1","0.03%","0.71%","141","0.26%"
"Thirty + years","930","1.84%","98.94%","10","0.26%","1.06%","940","1.73%"
"Total Reported","50,591","100%","92.99%","3,815","100%","7.01%","54,406","100%"
