"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,198","18.41%","89.77%","1,048","29.62%","10.23%","10,246","19.15%"
"1 to 1.99 years","10,691","21.40%","91.31%","1,017","28.75%","8.69%","11,708","21.88%"
"2 to 2.99 years","6,865","13.74%","93.35%","489","13.82%","6.65%","7,354","13.74%"
"3 to 3.99 years","4,021","8.05%","94.66%","227","6.42%","5.34%","4,248","7.94%"
"4 to 4.99 years","2,914","5.83%","95.60%","134","3.79%","4.40%","3,048","5.70%"
"5 to 5.99 years","2,258","4.52%","95.44%","108","3.05%","4.56%","2,366","4.42%"
"6 to 6.99 years","1,993","3.99%","95.86%","86","2.43%","4.14%","2,079","3.89%"
"7 to 7.99 years","1,686","3.37%","95.74%","75","2.12%","4.26%","1,761","3.29%"
"8 to 8.99 years","1,535","3.07%","95.70%","69","1.95%","4.30%","1,604","3.00%"
"9 to 9.99 years","1,532","3.07%","96.17%","61","1.72%","3.83%","1,593","2.98%"
"10 to 10.99 years","1,129","2.26%","96.58%","40","1.13%","3.42%","1,169","2.18%"
"11 to 11.99 years","957","1.92%","97.75%","22","0.62%","2.25%","979","1.83%"
"12 to 12.99 years","794","1.59%","96.83%","26","0.73%","3.17%","820","1.53%"
"13 to 13.99 years","690","1.38%","96.23%","27","0.76%","3.77%","717","1.34%"
"14 to 14.99 years","694","1.39%","95.72%","31","0.88%","4.28%","725","1.35%"
"15 to 15.99 years","470","0.94%","96.71%","16","0.45%","3.29%","486","0.91%"
"16 to 16.99 years","443","0.89%","97.15%","13","0.37%","2.85%","456","0.85%"
"17 to 17.99 years","387","0.77%","96.27%","15","0.42%","3.73%","402","0.75%"
"18 to 18.99 years","284","0.57%","97.93%","6","0.17%","2.07%","290","0.54%"
"19 to 19.99 years","271","0.54%","97.13%","8","0.23%","2.87%","279","0.52%"
"20 to 20.99 years","213","0.43%","96.82%","7","0.20%","3.18%","220","0.41%"
"21 to 21.99 years","154","0.31%","100.00%","","","","154","0.29%"
"22 to 22.99 years","149","0.30%","98.03%","3","0.08%","1.97%","152","0.28%"
"23 to 23.99 years","119","0.24%","96.75%","4","0.11%","3.25%","123","0.23%"
"24 to 24.99 years","90","0.18%","97.83%","2","0.06%","2.17%","92","0.17%"
"25 to 25.99 years","64","0.13%","100.00%","","","","64","0.12%"
"26 to 26.99 years","82","0.16%","98.80%","1","0.03%","1.20%","83","0.16%"
"27 to 27.99 years","59","0.12%","98.33%","1","0.03%","1.67%","60","0.11%"
"28 to 28.99 years","43","0.09%","100.00%","","","","43","0.08%"
"29 to 29.99 years","44","0.09%","97.78%","1","0.03%","2.22%","45","0.08%"
"Thirty + years","139","0.28%","99.29%","1","0.03%","0.71%","140","0.26%"
"Total Reported","49,968","100%","93.39%","3,538","100%","6.61%","53,506","100%"
