"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","7,654","17.41%","91.92%","673","22.20%","8.08%","8,327","17.72%"
"1 to 1.99 years","3,637","8.27%","92.05%","314","10.36%","7.95%","3,951","8.41%"
"2 to 2.99 years","4,866","11.07%","91.23%","468","15.44%","8.77%","5,334","11.35%"
"3 to 3.99 years","3,857","8.77%","91.77%","346","11.42%","8.23%","4,203","8.94%"
"4 to 4.99 years","3,262","7.42%","93.01%","245","8.08%","6.99%","3,507","7.46%"
"5 to 5.99 years","2,588","5.89%","94.11%","162","5.34%","5.89%","2,750","5.85%"
"6 to 6.99 years","2,142","4.87%","94.11%","134","4.42%","5.89%","2,276","4.84%"
"7 to 7.99 years","1,867","4.25%","94.77%","103","3.40%","5.23%","1,970","4.19%"
"8 to 8.99 years","1,642","3.73%","94.86%","89","2.94%","5.14%","1,731","3.68%"
"9 to 9.99 years","1,409","3.20%","94.63%","80","2.64%","5.37%","1,489","3.17%"
"10 to 10.99 years","1,190","2.71%","95.58%","55","1.81%","4.42%","1,245","2.65%"
"11 to 11.99 years","961","2.19%","95.34%","47","1.55%","4.66%","1,008","2.14%"
"12 to 12.99 years","839","1.91%","95.56%","39","1.29%","4.44%","878","1.87%"
"13 to 13.99 years","753","1.71%","95.92%","32","1.06%","4.08%","785","1.67%"
"14 to 14.99 years","801","1.82%","96.04%","33","1.09%","3.96%","834","1.77%"
"15 to 15.99 years","592","1.35%","96.42%","22","0.73%","3.58%","614","1.31%"
"16 to 16.99 years","522","1.19%","94.91%","28","0.92%","5.09%","550","1.17%"
"17 to 17.99 years","437","0.99%","95.21%","22","0.73%","4.79%","459","0.98%"
"18 to 18.99 years","463","1.05%","96.46%","17","0.56%","3.54%","480","1.02%"
"19 to 19.99 years","426","0.97%","94.88%","23","0.76%","5.12%","449","0.96%"
"20 to 20.99 years","361","0.82%","97.83%","8","0.26%","2.17%","369","0.79%"
"21 to 21.99 years","329","0.75%","96.48%","12","0.40%","3.52%","341","0.73%"
"22 to 22.99 years","303","0.69%","95.28%","15","0.49%","4.72%","318","0.68%"
"23 to 23.99 years","298","0.68%","95.21%","15","0.49%","4.79%","313","0.67%"
"24 to 24.99 years","327","0.74%","97.32%","9","0.30%","2.68%","336","0.71%"
"25 to 25.99 years","318","0.72%","97.85%","7","0.23%","2.15%","325","0.69%"
"26 to 26.99 years","271","0.62%","97.83%","6","0.20%","2.17%","277","0.59%"
"27 to 27.99 years","233","0.53%","97.90%","5","0.16%","2.10%","238","0.51%"
"28 to 28.99 years","207","0.47%","97.64%","5","0.16%","2.36%","212","0.45%"
"29 to 29.99 years","148","0.34%","98.01%","3","0.10%","1.99%","151","0.32%"
"Thirty + years","1,263","2.87%","98.90%","14","0.46%","1.10%","1,277","2.72%"
"Total Reported","43,966","100%","93.55%","3,031","100%","6.45%","46,997","100.0%"
