"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","7,865","18.00%","91.53%","728","24.04%","8.47%","8,593","18.39%"
"1 to 1.99 years","3,172","7.26%","92.34%","263","8.69%","7.66%","3,435","7.35%"
"2 to 2.99 years","4,838","11.07%","91.51%","449","14.83%","8.49%","5,287","11.32%"
"3 to 3.99 years","3,804","8.71%","91.82%","339","11.20%","8.18%","4,143","8.87%"
"4 to 4.99 years","3,332","7.63%","92.56%","268","8.85%","7.44%","3,600","7.70%"
"5 to 5.99 years","2,533","5.80%","94.30%","153","5.05%","5.70%","2,686","5.75%"
"6 to 6.99 years","2,169","4.96%","94.10%","136","4.49%","5.90%","2,305","4.93%"
"7 to 7.99 years","1,881","4.30%","94.38%","112","3.70%","5.62%","1,993","4.27%"
"8 to 8.99 years","1,653","3.78%","94.84%","90","2.97%","5.16%","1,743","3.73%"
"9 to 9.99 years","1,344","3.08%","94.45%","79","2.61%","5.55%","1,423","3.05%"
"10 to 10.99 years","1,204","2.76%","96.09%","49","1.62%","3.91%","1,253","2.68%"
"11 to 11.99 years","989","2.26%","95.19%","50","1.65%","4.81%","1,039","2.22%"
"12 to 12.99 years","840","1.92%","95.67%","38","1.25%","4.33%","878","1.88%"
"13 to 13.99 years","739","1.69%","96.35%","28","0.92%","3.65%","767","1.64%"
"14 to 14.99 years","820","1.88%","96.13%","33","1.09%","3.87%","853","1.83%"
"15 to 15.99 years","580","1.33%","96.35%","22","0.73%","3.65%","602","1.29%"
"16 to 16.99 years","541","1.24%","94.91%","29","0.96%","5.09%","570","1.22%"
"17 to 17.99 years","431","0.99%","96.21%","17","0.56%","3.79%","448","0.96%"
"18 to 18.99 years","460","1.05%","95.83%","20","0.66%","4.17%","480","1.03%"
"19 to 19.99 years","433","0.99%","94.54%","25","0.83%","5.46%","458","0.98%"
"20 to 20.99 years","352","0.81%","98.05%","7","0.23%","1.95%","359","0.77%"
"21 to 21.99 years","323","0.74%","97.29%","9","0.30%","2.71%","332","0.71%"
"22 to 22.99 years","311","0.71%","94.82%","17","0.56%","5.18%","328","0.70%"
"23 to 23.99 years","289","0.66%","95.07%","15","0.50%","4.93%","304","0.65%"
"24 to 24.99 years","324","0.74%","97.01%","10","0.33%","2.99%","334","0.71%"
"25 to 25.99 years","307","0.70%","97.15%","9","0.30%","2.85%","316","0.68%"
"26 to 26.99 years","272","0.62%","98.19%","5","0.17%","1.81%","277","0.59%"
"27 to 27.99 years","251","0.57%","98.43%","4","0.13%","1.57%","255","0.55%"
"28 to 28.99 years","203","0.46%","96.67%","7","0.23%","3.33%","210","0.45%"
"29 to 29.99 years","159","0.36%","98.76%","2","0.07%","1.24%","161","0.34%"
"Thirty + years","1,277","2.92%","98.84%","15","0.50%","1.16%","1,292","2.77%"
"Total Reported","43,696","100%","93.52%","3,028","100%","6.48%","46,724","100.0%"
