"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,393","18.78%","90.44%","993","28.76%","9.56%","10,386","19.43%"
"1 to 1.99 years","10,527","21.05%","91.43%","987","28.58%","8.57%","11,514","21.54%"
"2 to 2.99 years","6,887","13.77%","93.13%","508","14.71%","6.87%","7,395","13.83%"
"3 to 3.99 years","4,020","8.04%","95.24%","201","5.82%","4.76%","4,221","7.90%"
"4 to 4.99 years","2,931","5.86%","95.32%","144","4.17%","4.68%","3,075","5.75%"
"5 to 5.99 years","2,235","4.47%","95.47%","106","3.07%","4.53%","2,341","4.38%"
"6 to 6.99 years","1,959","3.92%","95.61%","90","2.61%","4.39%","2,049","3.83%"
"7 to 7.99 years","1,675","3.35%","96.32%","64","1.85%","3.68%","1,739","3.25%"
"8 to 8.99 years","1,528","3.06%","95.80%","67","1.94%","4.20%","1,595","2.98%"
"9 to 9.99 years","1,504","3.01%","96.10%","61","1.77%","3.90%","1,565","2.93%"
"10 to 10.99 years","1,103","2.21%","96.92%","35","1.01%","3.08%","1,138","2.13%"
"11 to 11.99 years","999","2.00%","96.71%","34","0.98%","3.29%","1,033","1.93%"
"12 to 12.99 years","808","1.62%","97.47%","21","0.61%","2.53%","829","1.55%"
"13 to 13.99 years","700","1.40%","95.76%","31","0.90%","4.24%","731","1.37%"
"14 to 14.99 years","679","1.36%","95.77%","30","0.87%","4.23%","709","1.33%"
"15 to 15.99 years","478","0.96%","96.37%","18","0.52%","3.63%","496","0.93%"
"16 to 16.99 years","426","0.85%","97.26%","12","0.35%","2.74%","438","0.82%"
"17 to 17.99 years","392","0.78%","96.08%","16","0.46%","3.92%","408","0.76%"
"18 to 18.99 years","325","0.65%","98.19%","6","0.17%","1.81%","331","0.62%"
"19 to 19.99 years","258","0.52%","97.36%","7","0.20%","2.64%","265","0.50%"
"20 to 20.99 years","213","0.43%","96.38%","8","0.23%","3.62%","221","0.41%"
"21 to 21.99 years","157","0.31%","99.37%","1","0.03%","0.63%","158","0.30%"
"22 to 22.99 years","152","0.30%","98.06%","3","0.09%","1.94%","155","0.29%"
"23 to 23.99 years","116","0.23%","97.48%","3","0.09%","2.52%","119","0.22%"
"24 to 24.99 years","99","0.20%","97.06%","3","0.09%","2.94%","102","0.19%"
"25 to 25.99 years","75","0.15%","100.00%","","","","75","0.14%"
"26 to 26.99 years","78","0.16%","98.73%","1","0.03%","1.27%","79","0.15%"
"27 to 27.99 years","59","0.12%","98.33%","1","0.03%","1.67%","60","0.11%"
"28 to 28.99 years","47","0.09%","100.00%","","","","47","0.09%"
"29 to 29.99 years","34","0.07%","97.14%","1","0.03%","2.86%","35","0.07%"
"Thirty + years","149","0.30%","99.33%","1","0.03%","0.67%","150","0.28%"
"Total Reported","50,006","100%","93.54%","3,453","100%","6.46%","53,459","100.0%"
