"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","7,963","16.18%","86.88%","1,202","31.97%","13.12%","9,165","17.30%"
"1 to 1.99 years","10,268","20.86%","90.63%","1,062","28.24%","9.37%","11,330","21.38%"
"2 to 2.99 years","6,767","13.75%","93.60%","463","12.31%","6.40%","7,230","13.65%"
"3 to 3.99 years","4,540","9.22%","94.58%","260","6.91%","5.42%","4,800","9.06%"
"4 to 4.99 years","3,144","6.39%","95.59%","145","3.86%","4.41%","3,289","6.21%"
"5 to 5.99 years","2,124","4.31%","95.76%","94","2.50%","4.24%","2,218","4.19%"
"6 to 6.99 years","1,683","3.42%","95.73%","75","1.99%","4.27%","1,758","3.32%"
"7 to 7.99 years","1,602","3.25%","96.22%","63","1.68%","3.78%","1,665","3.14%"
"8 to 8.99 years","1,428","2.90%","95.65%","65","1.73%","4.35%","1,493","2.82%"
"9 to 9.99 years","1,378","2.80%","96.03%","57","1.52%","3.97%","1,435","2.71%"
"10 to 10.99 years","942","1.91%","96.02%","39","1.04%","3.98%","981","1.85%"
"11 to 11.99 years","891","1.81%","95.81%","39","1.04%","4.19%","930","1.76%"
"12 to 12.99 years","842","1.71%","95.79%","37","0.98%","4.21%","879","1.66%"
"13 to 13.99 years","851","1.73%","97.15%","25","0.66%","2.85%","876","1.65%"
"14 to 14.99 years","754","1.53%","97.67%","18","0.48%","2.33%","772","1.46%"
"15 to 15.99 years","623","1.27%","96.59%","22","0.59%","3.41%","645","1.22%"
"16 to 16.99 years","513","1.04%","96.61%","18","0.48%","3.39%","531","1.00%"
"17 to 17.99 years","514","1.04%","96.98%","16","0.43%","3.02%","530","1.00%"
"18 to 18.99 years","383","0.78%","96.96%","12","0.32%","3.04%","395","0.75%"
"19 to 19.99 years","389","0.79%","96.77%","13","0.35%","3.23%","402","0.76%"
"20 to 20.99 years","272","0.55%","96.11%","11","0.29%","3.89%","283","0.53%"
"21 to 21.99 years","205","0.42%","97.62%","5","0.13%","2.38%","210","0.40%"
"22 to 22.99 years","199","0.40%","96.60%","7","0.19%","3.40%","206","0.39%"
"23 to 23.99 years","187","0.38%","98.42%","3","0.08%","1.58%","190","0.36%"
"24 to 24.99 years","136","0.28%","99.27%","1","0.03%","0.73%","137","0.26%"
"25 to 25.99 years","118","0.24%","98.33%","2","0.05%","1.67%","120","0.23%"
"26 to 26.99 years","99","0.20%","97.06%","3","0.08%","2.94%","102","0.19%"
"27 to 27.99 years","69","0.14%","98.57%","1","0.03%","1.43%","70","0.13%"
"28 to 28.99 years","56","0.11%","100.00%","","","","56","0.11%"
"29 to 29.99 years","53","0.11%","100.00%","","","","53","0.10%"
"Thirty + years","232","0.47%","99.15%","2","0.05%","0.85%","234","0.44%"
"Total Reported","49,225","100%","92.90%","3,760","100%","7.10%","52,985","100.0%"
