"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","7,803","15.91%","87.32%","1,132","30.51%","12.67%","8,936","16.94%"
"1 to 1.99 years","10,243","20.88%","90.52%","1,072","28.89%","9.47%","11,316","21.45%"
"2 to 2.99 years","6,709","13.68%","93.40%","473","12.75%","6.58%","7,183","13.61%"
"3 to 3.99 years","4,591","9.36%","94.80%","252","6.79%","5.20%","4,843","9.18%"
"4 to 4.99 years","3,183","6.49%","95.59%","147","3.96%","4.41%","3,330","6.31%"
"5 to 5.99 years","2,130","4.34%","95.47%","101","2.72%","4.53%","2,231","4.23%"
"6 to 6.99 years","1,673","3.41%","96.20%","66","1.78%","3.80%","1,739","3.30%"
"7 to 7.99 years","1,571","3.20%","95.85%","68","1.83%","4.15%","1,639","3.11%"
"8 to 8.99 years","1,455","2.97%","95.98%","61","1.64%","4.02%","1,516","2.87%"
"9 to 9.99 years","1,339","2.73%","95.57%","62","1.67%","4.43%","1,401","2.66%"
"10 to 10.99 years","939","1.91%","96.11%","38","1.02%","3.89%","977","1.85%"
"11 to 11.99 years","914","1.86%","95.91%","39","1.05%","4.09%","953","1.81%"
"12 to 12.99 years","818","1.67%","95.56%","38","1.02%","4.44%","856","1.62%"
"13 to 13.99 years","856","1.75%","97.05%","26","0.70%","2.95%","882","1.67%"
"14 to 14.99 years","766","1.56%","97.70%","18","0.49%","2.30%","784","1.49%"
"15 to 15.99 years","610","1.24%","96.52%","22","0.59%","3.48%","632","1.20%"
"16 to 16.99 years","524","1.07%","96.86%","17","0.46%","3.14%","541","1.03%"
"17 to 17.99 years","513","1.05%","96.61%","18","0.49%","3.39%","531","1.01%"
"18 to 18.99 years","394","0.80%","97.04%","12","0.32%","2.96%","406","0.77%"
"19 to 19.99 years","385","0.78%","96.98%","12","0.32%","3.02%","397","0.75%"
"20 to 20.99 years","274","0.56%","96.14%","11","0.30%","3.86%","285","0.54%"
"21 to 21.99 years","204","0.42%","97.61%","5","0.13%","2.39%","209","0.40%"
"22 to 22.99 years","198","0.40%","97.06%","6","0.16%","2.94%","204","0.39%"
"23 to 23.99 years","186","0.38%","97.38%","5","0.13%","2.62%","191","0.36%"
"24 to 24.99 years","137","0.28%","100.00%","","","","137","0.26%"
"25 to 25.99 years","125","0.25%","97.66%","3","0.08%","2.34%","128","0.24%"
"26 to 26.99 years","91","0.19%","96.81%","3","0.08%","3.19%","94","0.18%"
"27 to 27.99 years","77","0.16%","98.72%","1","0.03%","1.28%","78","0.15%"
"28 to 28.99 years","50","0.10%","100.00%","","","","50","0.09%"
"29 to 29.99 years","61","0.12%","100.00%","","","","61","0.12%"
"Thirty + years","233","0.48%","99.15%","2","0.05%","0.85%","235","0.45%"
"Total Reported","49,052","100%","92.96%","3,710","100%","7.03%","52,765","100.0%"
