"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,589","19.37%","91.16%","930","26.78%","8.84%","10,519","19.86%"
"1 to 1.99 years","7,538","15.23%","91.54%","697","20.07%","8.46%","8,235","15.55%"
"2 to 2.99 years","5,843","11.80%","92.53%","472","13.59%","7.47%","6,315","11.92%"
"3 to 3.99 years","4,172","8.43%","93.58%","286","8.23%","6.42%","4,458","8.42%"
"4 to 4.99 years","3,353","6.77%","93.50%","233","6.71%","6.50%","3,586","6.77%"
"5 to 5.99 years","2,543","5.14%","94.50%","148","4.26%","5.50%","2,691","5.08%"
"6 to 6.99 years","2,456","4.96%","95.19%","124","3.57%","4.81%","2,580","4.87%"
"7 to 7.99 years","1,927","3.89%","95.02%","101","2.91%","4.98%","2,028","3.83%"
"8 to 8.99 years","1,523","3.08%","94.25%","93","2.68%","5.75%","1,616","3.05%"
"9 to 9.99 years","1,248","2.52%","95.19%","63","1.81%","4.81%","1,311","2.47%"
"10 to 10.99 years","930","1.88%","94.61%","53","1.53%","5.39%","983","1.86%"
"11 to 11.99 years","905","1.83%","95.56%","42","1.21%","4.44%","947","1.79%"
"12 to 12.99 years","781","1.58%","96.18%","31","0.89%","3.82%","812","1.53%"
"13 to 13.99 years","722","1.46%","96.91%","23","0.66%","3.09%","745","1.41%"
"14 to 14.99 years","693","1.40%","96.25%","27","0.78%","3.75%","720","1.36%"
"15 to 15.99 years","550","1.11%","94.99%","29","0.84%","5.01%","579","1.09%"
"16 to 16.99 years","613","1.24%","97.77%","14","0.40%","2.23%","627","1.18%"
"17 to 17.99 years","565","1.14%","97.08%","17","0.49%","2.92%","582","1.10%"
"18 to 18.99 years","519","1.05%","97.19%","15","0.43%","2.81%","534","1.01%"
"19 to 19.99 years","437","0.88%","96.68%","15","0.43%","3.32%","452","0.85%"
"20 to 20.99 years","355","0.72%","96.21%","14","0.40%","3.79%","369","0.70%"
"21 to 21.99 years","286","0.58%","96.95%","9","0.26%","3.05%","295","0.56%"
"22 to 22.99 years","280","0.57%","96.55%","10","0.29%","3.45%","290","0.55%"
"23 to 23.99 years","213","0.43%","97.26%","6","0.17%","2.74%","219","0.41%"
"24 to 24.99 years","185","0.37%","98.40%","3","0.09%","1.60%","188","0.35%"
"25 to 25.99 years","168","0.34%","98.82%","2","0.06%","1.18%","170","0.32%"
"26 to 26.99 years","153","0.31%","97.45%","4","0.12%","2.55%","157","0.30%"
"27 to 27.99 years","104","0.21%","100.00%","","","","104","0.20%"
"28 to 28.99 years","104","0.21%","97.20%","3","0.09%","2.80%","107","0.20%"
"29 to 29.99 years","80","0.16%","98.77%","1","0.03%","1.23%","81","0.15%"
"Thirty + years","666","1.35%","98.81%","8","0.23%","1.19%","674","1.27%"
"Total Reported","49,501","100%","93.44%","3,473","100%","6.56%","52,974","100.0%"
