"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","10,003","19.68%","90.08%","1,101","27.97%","9.92%","11,104","20.28%"
"1 to 1.99 years","7,589","14.93%","91.56%","700","17.78%","8.44%","8,289","15.14%"
"2 to 2.99 years","5,227","10.29%","92.09%","449","11.40%","7.91%","5,676","10.37%"
"3 to 3.99 years","4,161","8.19%","91.87%","368","9.35%","8.13%","4,529","8.27%"
"4 to 4.99 years","3,318","6.53%","92.47%","270","6.86%","7.53%","3,588","6.55%"
"5 to 5.99 years","2,590","5.10%","93.13%","191","4.85%","6.87%","2,781","5.08%"
"6 to 6.99 years","2,241","4.41%","93.34%","160","4.06%","6.66%","2,401","4.39%"
"7 to 7.99 years","2,067","4.07%","94.34%","124","3.15%","5.66%","2,191","4.00%"
"8 to 8.99 years","1,666","3.28%","94.61%","95","2.41%","5.39%","1,761","3.22%"
"9 to 9.99 years","1,446","2.85%","94.76%","80","2.03%","5.24%","1,526","2.79%"
"10 to 10.99 years","1,070","2.11%","95.37%","52","1.32%","4.63%","1,122","2.05%"
"11 to 11.99 years","1,126","2.22%","96.24%","44","1.12%","3.76%","1,170","2.14%"
"12 to 12.99 years","850","1.67%","96.15%","34","0.86%","3.85%","884","1.61%"
"13 to 13.99 years","724","1.42%","95.01%","38","0.97%","4.99%","762","1.39%"
"14 to 14.99 years","612","1.20%","95.77%","27","0.69%","4.23%","639","1.17%"
"15 to 15.99 years","551","1.08%","95.66%","25","0.64%","4.34%","576","1.05%"
"16 to 16.99 years","502","0.99%","94.72%","28","0.71%","5.28%","530","0.97%"
"17 to 17.99 years","488","0.96%","96.63%","17","0.43%","3.37%","505","0.92%"
"18 to 18.99 years","453","0.89%","96.79%","15","0.38%","3.21%","468","0.85%"
"19 to 19.99 years","432","0.85%","94.32%","26","0.66%","5.68%","458","0.84%"
"20 to 20.99 years","341","0.67%","94.99%","18","0.46%","5.01%","359","0.66%"
"21 to 21.99 years","382","0.75%","97.45%","10","0.25%","2.55%","392","0.72%"
"22 to 22.99 years","357","0.70%","97.54%","9","0.23%","2.46%","366","0.67%"
"23 to 23.99 years","340","0.67%","96.59%","12","0.30%","3.41%","352","0.64%"
"24 to 24.99 years","319","0.63%","98.15%","6","0.15%","1.85%","325","0.59%"
"25 to 25.99 years","264","0.52%","96.35%","10","0.25%","3.65%","274","0.50%"
"26 to 26.99 years","201","0.40%","98.05%","4","0.10%","1.95%","205","0.37%"
"27 to 27.99 years","201","0.40%","96.17%","8","0.20%","3.83%","209","0.38%"
"28 to 28.99 years","153","0.30%","96.84%","5","0.13%","3.16%","158","0.29%"
"29 to 29.99 years","112","0.22%","99.12%","1","0.03%","0.88%","113","0.21%"
"Thirty + years","1,031","2.03%","99.04%","10","0.25%","0.96%","1,041","1.90%"
"Total Reported","50,817","100%","92.81%","3,937","100%","7.19%","54,754","100.0%"
