"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,995","19.53%","90.79%","1,014","25.44%","9.21%","11,009","19.96%"
"1 to 1.99 years","7,382","14.43%","90.15%","807","20.25%","9.85%","8,189","14.85%"
"2 to 2.99 years","5,559","10.86%","91.75%","500","12.54%","8.25%","6,059","10.99%"
"3 to 3.99 years","4,144","8.10%","93.06%","309","7.75%","6.94%","4,453","8.07%"
"4 to 4.99 years","3,406","6.66%","92.71%","268","6.72%","7.29%","3,674","6.66%"
"5 to 5.99 years","2,642","5.16%","92.96%","200","5.02%","7.04%","2,842","5.15%"
"6 to 6.99 years","2,239","4.38%","93.80%","148","3.71%","6.20%","2,387","4.33%"
"7 to 7.99 years","1,960","3.83%","93.78%","130","3.26%","6.22%","2,090","3.79%"
"8 to 8.99 years","1,816","3.55%","94.34%","109","2.73%","5.66%","1,925","3.49%"
"9 to 9.99 years","1,350","2.64%","94.41%","80","2.01%","5.59%","1,430","2.59%"
"10 to 10.99 years","1,097","2.14%","94.90%","59","1.48%","5.10%","1,156","2.10%"
"11 to 11.99 years","955","1.87%","95.21%","48","1.20%","4.79%","1,003","1.82%"
"12 to 12.99 years","977","1.91%","95.69%","44","1.10%","4.31%","1,021","1.85%"
"13 to 13.99 years","785","1.53%","96.79%","26","0.65%","3.21%","811","1.47%"
"14 to 14.99 years","662","1.29%","94.44%","39","0.98%","5.56%","701","1.27%"
"15 to 15.99 years","499","0.98%","95.23%","25","0.63%","4.77%","524","0.95%"
"16 to 16.99 years","511","1.00%","95.51%","24","0.60%","4.49%","535","0.97%"
"17 to 17.99 years","493","0.96%","94.81%","27","0.68%","5.19%","520","0.94%"
"18 to 18.99 years","462","0.90%","97.06%","14","0.35%","2.94%","476","0.86%"
"19 to 19.99 years","427","0.83%","97.05%","13","0.33%","2.95%","440","0.80%"
"20 to 20.99 years","363","0.71%","94.29%","22","0.55%","5.71%","385","0.70%"
"21 to 21.99 years","318","0.62%","94.93%","17","0.43%","5.07%","335","0.61%"
"22 to 22.99 years","373","0.73%","97.64%","9","0.23%","2.36%","382","0.69%"
"23 to 23.99 years","336","0.66%","97.96%","7","0.18%","2.04%","343","0.62%"
"24 to 24.99 years","330","0.64%","96.49%","12","0.30%","3.51%","342","0.62%"
"25 to 25.99 years","278","0.54%","97.20%","8","0.20%","2.80%","286","0.52%"
"26 to 26.99 years","245","0.48%","97.61%","6","0.15%","2.39%","251","0.46%"
"27 to 27.99 years","177","0.35%","97.79%","4","0.10%","2.21%","181","0.33%"
"28 to 28.99 years","182","0.36%","97.33%","5","0.13%","2.67%","187","0.34%"
"29 to 29.99 years","129","0.25%","97.73%","3","0.08%","2.27%","132","0.24%"
"Thirty + years","1,075","2.10%","99.17%","9","0.23%","0.83%","1,084","1.97%"
"Total Reported","51,167","100%","92.77%","3,986","100%","7.23%","55,153","100.0%"
