"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,662","19.00%","91.01%","954","24.83%","8.99%","10,616","19.41%"
"1 to 1.99 years","7,501","14.75%","91.32%","713","18.56%","8.68%","8,214","15.02%"
"2 to 2.99 years","5,403","10.63%","91.42%","507","13.20%","8.58%","5,910","10.81%"
"3 to 3.99 years","4,202","8.26%","92.13%","359","9.34%","7.87%","4,561","8.34%"
"4 to 4.99 years","3,467","6.82%","92.40%","285","7.42%","7.60%","3,752","6.86%"
"5 to 5.99 years","2,894","5.69%","93.35%","206","5.36%","6.65%","3,100","5.67%"
"6 to 6.99 years","2,421","4.76%","93.91%","157","4.09%","6.09%","2,578","4.71%"
"7 to 7.99 years","1,835","3.61%","94.15%","114","2.97%","5.85%","1,949","3.56%"
"8 to 8.99 years","1,583","3.11%","94.73%","88","2.29%","5.27%","1,671","3.06%"
"9 to 9.99 years","1,622","3.19%","95.81%","71","1.85%","4.19%","1,693","3.10%"
"10 to 10.99 years","1,210","2.38%","95.05%","63","1.64%","4.95%","1,273","2.33%"
"11 to 11.99 years","992","1.95%","95.75%","44","1.15%","4.25%","1,036","1.89%"
"12 to 12.99 years","730","1.44%","95.18%","37","0.96%","4.82%","767","1.40%"
"13 to 13.99 years","673","1.32%","95.60%","31","0.81%","4.40%","704","1.29%"
"14 to 14.99 years","721","1.42%","95.62%","33","0.86%","4.38%","754","1.38%"
"15 to 15.99 years","520","1.02%","96.12%","21","0.55%","3.88%","541","0.99%"
"16 to 16.99 years","536","1.05%","97.28%","15","0.39%","2.72%","551","1.01%"
"17 to 17.99 years","500","0.98%","95.24%","25","0.65%","4.76%","525","0.96%"
"18 to 18.99 years","447","0.88%","95.31%","22","0.57%","4.69%","469","0.86%"
"19 to 19.99 years","478","0.94%","96.76%","16","0.42%","3.24%","494","0.90%"
"20 to 20.99 years","433","0.85%","97.96%","9","0.23%","2.04%","442","0.81%"
"21 to 21.99 years","365","0.72%","96.56%","13","0.34%","3.44%","378","0.69%"
"22 to 22.99 years","346","0.68%","97.46%","9","0.23%","2.54%","355","0.65%"
"23 to 23.99 years","316","0.62%","95.76%","14","0.36%","4.24%","330","0.60%"
"24 to 24.99 years","256","0.50%","98.84%","3","0.08%","1.16%","259","0.47%"
"25 to 25.99 years","217","0.43%","95.18%","11","0.29%","4.82%","228","0.42%"
"26 to 26.99 years","211","0.42%","98.14%","4","0.10%","1.86%","215","0.39%"
"27 to 27.99 years","148","0.29%","95.48%","7","0.18%","4.52%","155","0.28%"
"28 to 28.99 years","134","0.26%","100.00%","","","","134","0.25%"
"29 to 29.99 years","130","0.26%","99.24%","1","0.03%","0.76%","131","0.24%"
"Thirty + years","889","1.75%","98.89%","10","0.26%","1.11%","899","1.64%"
"Total Reported","50,842","100%","92.97%","3,842","100%","7.03%","54,684","100%"
