"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,454","18.64%","90.80%","958","24.99%","9.20%","10,412","19.09%"
"1 to 1.99 years","7,534","14.86%","91.45%","704","18.37%","8.55%","8,238","15.10%"
"2 to 2.99 years","5,372","10.59%","91.45%","502","13.10%","8.55%","5,874","10.77%"
"3 to 3.99 years","4,269","8.42%","92.24%","359","9.37%","7.76%","4,628","8.49%"
"4 to 4.99 years","3,451","6.81%","92.05%","298","7.77%","7.95%","3,749","6.87%"
"5 to 5.99 years","2,861","5.64%","93.86%","187","4.88%","6.14%","3,048","5.59%"
"6 to 6.99 years","2,427","4.79%","93.67%","164","4.28%","6.33%","2,591","4.75%"
"7 to 7.99 years","1,841","3.63%","94.60%","105","2.74%","5.40%","1,946","3.57%"
"8 to 8.99 years","1,656","3.27%","94.52%","96","2.50%","5.48%","1,752","3.21%"
"9 to 9.99 years","1,559","3.07%","95.70%","70","1.83%","4.30%","1,629","2.99%"
"10 to 10.99 years","1,239","2.44%","95.16%","63","1.64%","4.84%","1,302","2.39%"
"11 to 11.99 years","986","1.94%","95.54%","46","1.20%","4.46%","1,032","1.89%"
"12 to 12.99 years","728","1.44%","95.66%","33","0.86%","4.34%","761","1.40%"
"13 to 13.99 years","679","1.34%","95.63%","31","0.81%","4.37%","710","1.30%"
"14 to 14.99 years","703","1.39%","95.78%","31","0.81%","4.22%","734","1.35%"
"15 to 15.99 years","524","1.03%","94.93%","28","0.73%","5.07%","552","1.01%"
"16 to 16.99 years","535","1.06%","97.45%","14","0.37%","2.55%","549","1.01%"
"17 to 17.99 years","504","0.99%","95.82%","22","0.57%","4.18%","526","0.96%"
"18 to 18.99 years","433","0.85%","94.96%","23","0.60%","5.04%","456","0.84%"
"19 to 19.99 years","488","0.96%","96.63%","17","0.44%","3.37%","505","0.93%"
"20 to 20.99 years","435","0.86%","97.75%","10","0.26%","2.25%","445","0.82%"
"21 to 21.99 years","362","0.71%","96.53%","13","0.34%","3.47%","375","0.69%"
"22 to 22.99 years","350","0.69%","97.77%","8","0.21%","2.23%","358","0.66%"
"23 to 23.99 years","311","0.61%","95.99%","13","0.34%","4.01%","324","0.59%"
"24 to 24.99 years","265","0.52%","98.15%","5","0.13%","1.85%","270","0.50%"
"25 to 25.99 years","216","0.43%","96.00%","9","0.23%","4.00%","225","0.41%"
"26 to 26.99 years","216","0.43%","97.30%","6","0.16%","2.70%","222","0.41%"
"27 to 27.99 years","146","0.29%","96.05%","6","0.16%","3.95%","152","0.28%"
"28 to 28.99 years","128","0.25%","99.22%","1","0.03%","0.78%","129","0.24%"
"29 to 29.99 years","133","0.26%","99.25%","1","0.03%","0.75%","134","0.25%"
"Thirty + years","904","1.78%","98.91%","10","0.26%","1.09%","914","1.68%"
"Total Reported","50,709","100%","92.97%","3,833","100%","7.03%","54,542","100.0%"
