"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","14,833","34.19%","89.54%","1,733","59.31%","10.46%","16,566","35.78%"
"Black","26,508","61.11%","95.90%","1,134","38.81%","4.10%","27,642","59.70%"
"Other","10",".02%","83.33%","2",".07%","16.67%","12",".03%"
"Asian","139",".32%","95.86%","6",".21%","4.14%","145",".31%"
"Unknown","4",".01%","100.00%","0","0%","0%","4",".01%"
"Hispanic","1,863","4.29%","97.64%","45","1.54%","2.36%","1,908","4.12%"
"Native American","23",".05%","92.00%","2",".07%","8.00%","25",".05%"
"Total Reported","43,380","100%","93.69%","2,922","100%","6.31%","46,302","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","43,380","","","2,922","","","46,302",""
