"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,823","31.88%","88.93%","1,969","52.90%","11.07%","17,792","33.35%"
"Black","31,356","63.18%","94.98%","1,659","44.57%","5.02%","33,015","61.88%"
"Other","47",".09%","88.68%","6",".16%","11.32%","53",".10%"
"Asian","125",".25%","96.90%","4",".11%","3.10%","129",".24%"
"Hispanic","2,252","4.54%","96.65%","78","2.10%","3.35%","2,330","4.37%"
"Native American","26",".05%","83.87%","5",".13%","16.13%","31",".06%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","49,629","100%","93.02%","3,722","100%","6.98%","53,351","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,629","","","3,722","","","53,351",""
