"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,982","32.53%","87.52%","2,279","55.93%","12.48%","18,261","34.32%"
"Black","30,301","61.67%","94.63%","1,721","42.23%","5.37%","32,022","60.18%"
"Other","24","0.05%","82.76%","5","0.12%","17.24%","29","0.05%"
"Asian","155","0.32%","92.81%","12","0.29%","7.19%","167","0.31%"
"Unknown","1","0.01%","100.0%","0","0%","0%","1","0.01%"
"Hispanic","2,633","5.36%","97.99%","54","1.33%","2.01%","2,687","5.05%"
"Native American","37","0.08%","90.24%","4","0.1%","9.76%","41","0.08%"
"Native Hawaiian","2","0.01%","100.0%","0","0%","0%","2","0.01%"
"Total Reported","49,135","100.00%","92.34%","4,075","100.00%","7.66%","53,210","100.00%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,135","","","4,075","","","53,210",""
