"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","14,968","34.30%","89.55%","1,747","59.28%","10.45%","16,715","35.88%"
"Black","26,621","61.00%","95.88%","1,143","38.79%","4.12%","27,764","59.60%"
"Other","12",".03%","85.71%","2",".07%","14.29%","14",".03%"
"Asian","144",".33%","95.36%","7",".24%","4.64%","151",".32%"
"Unknown","5",".01%","100.00%","0","0%","0%","5",".01%"
"Hispanic","1,867","4.28%","97.60%","46","1.56%","2.40%","1,913","4.11%"
"Native American","22",".05%","91.67%","2",".07%","8.33%","24",".05%"
"Total Reported","43,639","100%","93.67%","2,947","100%","6.33%","46,586","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","43,639","","","2,947","","","46,586",""
