"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","8",".02%","100.00%","","","","8",".02%"
"153
Wheeler County","28",".06%","100.00%","","","","28",".05%"
"154
White County","101",".20%","86.32%","16",".46%","13.68%","117",".22%"
"155
Whitfield County","553","1.11%","91.10%","54","1.55%","8.90%","607","1.14%"
"156
Wilcox County","39",".08%","86.67%","6",".17%","13.33%","45",".08%"
"157
Wilkes County","67",".13%","95.71%","3",".09%","4.29%","70",".13%"
"158
Wilkinson County","43",".09%","95.56%","2",".06%","4.44%","45",".08%"
"159
Worth County","117",".24%","93.60%","8",".23%","6.40%","125",".24%"
"Total Rported","49,655","100%","93.43%","3,491","100%","6.57%","53,146","100%"
