"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","5",".01%","71.43%","2",".06%","28.57%","7",".01%"
"153
Wheeler County","17",".04%","100.00%","","","","17",".04%"
"154
White County","86",".19%","93.48%","6",".19%","6.52%","92",".19%"
"155
Whitfield County","652","1.45%","86.24%","104","3.28%","13.76%","756","1.57%"
"156
Wilcox County","52",".12%","94.55%","3",".09%","5.45%","55",".11%"
"157
Wilkes County","56",".12%","96.55%","2",".06%","3.45%","58",".12%"
"158
Wilkinson County","37",".08%","97.37%","1",".03%","2.63%","38",".08%"
"159
Worth County","128",".28%","92.09%","11",".35%","7.91%","139",".29%"
"Total Rported","44,972","100%","93.42%","3,166","100%","6.58%","48,138","100%"
