"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","6",".01%","75.00%","2",".06%","25.00%","8",".02%"
"153
Wheeler County","16",".03%","100.00%","","","","16",".03%"
"154
White County","92",".19%","91.09%","9",".26%","8.91%","101",".19%"
"155
Whitfield County","709","1.46%","88.07%","96","2.75%","11.93%","805","1.55%"
"156
Wilcox County","55",".11%","94.83%","3",".09%","5.17%","58",".11%"
"157
Wilkes County","57",".12%","96.61%","2",".06%","3.39%","59",".11%"
"158
Wilkinson County","44",".09%","97.78%","1",".03%","2.22%","45",".09%"
"159
Worth County","116",".24%","92.80%","9",".26%","7.20%","125",".24%"
"Total Rported","48,496","100%","93.29%","3,490","100%","6.71%","51,986","100%"
