"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","5",".01%","83.33%","1",".03%","16.67%","6",".01%"
"153
Wheeler County","21",".04%","95.45%","1",".03%","4.55%","22",".04%"
"154
White County","100",".20%","85.47%","17",".47%","14.53%","117",".22%"
"155
Whitfield County","586","1.18%","89.19%","71","1.98%","10.81%","657","1.24%"
"156
Wilcox County","39",".08%","97.50%","1",".03%","2.50%","40",".08%"
"157
Wilkes County","79",".16%","100.00%","","","","79",".15%"
"158
Wilkinson County","50",".10%","96.15%","2",".06%","3.85%","52",".10%"
"159
Worth County","131",".26%","93.57%","9",".25%","6.43%","140",".26%"
"Total Rported","49,516","100%","93.25%","3,586","100%","6.75%","53,102","100%"
