"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","7",".01%","77.78%","2",".05%","22.22%","9",".02%"
"153
Wheeler County","18",".04%","100.00%","","","","18",".03%"
"154
White County","89",".17%","86.41%","14",".35%","13.59%","103",".19%"
"155
Whitfield County","756","1.47%","85.91%","124","3.13%","14.09%","880","1.59%"
"156
Wilcox County","58",".11%","95.08%","3",".08%","4.92%","61",".11%"
"157
Wilkes County","63",".12%","96.92%","2",".05%","3.08%","65",".12%"
"158
Wilkinson County","49",".10%","94.23%","3",".08%","5.77%","52",".09%"
"159
Worth County","119",".23%","90.84%","12",".30%","9.16%","131",".24%"
"Total Rported","51,264","100%","92.83%","3,957","100%","7.17%","55,221","100%"
