"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","6",".01%","75.00%","2",".05%","25.00%","8",".01%"
"153
Wheeler County","17",".03%","100.00%","","","","17",".03%"
"154
White County","92",".18%","89.32%","11",".30%","10.68%","103",".19%"
"155
Whitfield County","726","1.45%","86.63%","112","3.01%","13.37%","838","1.56%"
"156
Wilcox County","58",".12%","95.08%","3",".08%","4.92%","61",".11%"
"157
Wilkes County","61",".12%","96.83%","2",".05%","3.17%","63",".12%"
"158
Wilkinson County","45",".09%","95.74%","2",".05%","4.26%","47",".09%"
"159
Worth County","117",".23%","92.13%","10",".27%","7.87%","127",".24%"
"Total Rported","49,921","100%","93.05%","3,727","100%","6.95%","53,648","100%"
