"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","10",".02%","100.00%","","","","10",".02%"
"153
Wheeler County","33",".06%","86.84%","5",".13%","13.16%","38",".07%"
"154
White County","111",".21%","88.10%","15",".39%","11.90%","126",".22%"
"155
Whitfield County","670","1.25%","89.21%","81","2.08%","10.79%","751","1.30%"
"156
Wilcox County","56",".10%","84.85%","10",".26%","15.15%","66",".11%"
"157
Wilkes County","72",".13%","92.31%","6",".15%","7.69%","78",".14%"
"158
Wilkinson County","53",".10%","94.64%","3",".08%","5.36%","56",".10%"
"159
Worth County","118",".22%","94.40%","7",".18%","5.60%","125",".22%"
"Total Rported","53,677","100%","93.24%","3,893","100%","6.76%","57,570","100%"
