"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","5",".01%","83.33%","1",".03%","16.67%","6",".01%"
"153
Wheeler County","22",".04%","95.65%","1",".03%","4.35%","23",".04%"
"154
White County","102",".20%","88.70%","13",".33%","11.30%","115",".21%"
"155
Whitfield County","810","1.59%","87.00%","121","3.08%","13.00%","931","1.70%"
"156
Wilcox County","53",".10%","92.98%","4",".10%","7.02%","57",".10%"
"157
Wilkes County","73",".14%","94.81%","4",".10%","5.19%","77",".14%"
"158
Wilkinson County","47",".09%","95.92%","2",".05%","4.08%","49",".09%"
"159
Worth County","134",".26%","92.41%","11",".28%","7.59%","145",".26%"
"Total Rported","50,937","100%","92.83%","3,933","100%","7.17%","54,870","100%"
