"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","4",".01%","80.00%","1",".03%","20.00%","5",".01%"
"153
Wheeler County","21",".04%","95.45%","1",".03%","4.55%","22",".04%"
"154
White County","103",".20%","88.79%","13",".33%","11.21%","116",".21%"
"155
Whitfield County","781","1.53%","87.17%","115","2.91%","12.83%","896","1.63%"
"156
Wilcox County","52",".10%","92.86%","4",".10%","7.14%","56",".10%"
"157
Wilkes County","72",".14%","94.74%","4",".10%","5.26%","76",".14%"
"158
Wilkinson County","46",".09%","97.87%","1",".03%","2.13%","47",".09%"
"159
Worth County","129",".25%","92.14%","11",".28%","7.86%","140",".25%"
"Total Rported","51,054","100%","92.82%","3,949","100%","7.18%","55,003","100%"
