"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","6,784","15.54%","92.11%","581","19.46%","7.89%","7,365","15.79%"
"1 to 1.99 years","4,249","9.73%","91.51%","394","13.19%","8.49%","4,643","9.95%"
"2 to 2.99 years","4,814","11.02%","91.47%","449","15.04%","8.53%","5,263","11.28%"
"3 to 3.99 years","4,009","9.18%","92.12%","343","11.49%","7.88%","4,352","9.33%"
"4 to 4.99 years","3,173","7.27%","93.52%","220","7.37%","6.48%","3,393","7.27%"
"5 to 5.99 years","2,580","5.91%","94.09%","162","5.43%","5.91%","2,742","5.88%"
"6 to 6.99 years","2,109","4.83%","93.94%","136","4.55%","6.06%","2,245","4.81%"
"7 to 7.99 years","1,857","4.25%","94.46%","109","3.65%","5.54%","1,966","4.21%"
"8 to 8.99 years","1,665","3.81%","94.39%","99","3.32%","5.61%","1,764","3.78%"
"9 to 9.99 years","1,405","3.22%","95.06%","73","2.44%","4.94%","1,478","3.17%"
"10 to 10.99 years","1,237","2.83%","95.60%","57","1.91%","4.40%","1,294","2.77%"
"11 to 11.99 years","912","2.09%","95.10%","47","1.57%","4.90%","959","2.06%"
"12 to 12.99 years","807","1.85%","94.94%","43","1.44%","5.06%","850","1.82%"
"13 to 13.99 years","795","1.82%","96.48%","29","0.97%","3.52%","824","1.77%"
"14 to 14.99 years","795","1.82%","96.36%","30","1.00%","3.64%","825","1.77%"
"15 to 15.99 years","598","1.37%","95.83%","26","0.87%","4.17%","624","1.34%"
"16 to 16.99 years","485","1.11%","95.28%","24","0.80%","4.72%","509","1.09%"
"17 to 17.99 years","450","1.03%","94.94%","24","0.80%","5.06%","474","1.02%"
"18 to 18.99 years","472","1.08%","95.35%","23","0.77%","4.65%","495","1.06%"
"19 to 19.99 years","422","0.97%","95.91%","18","0.60%","4.09%","440","0.94%"
"20 to 20.99 years","352","0.81%","97.51%","9","0.30%","2.49%","361","0.77%"
"21 to 21.99 years","344","0.79%","96.09%","14","0.47%","3.91%","358","0.77%"
"22 to 22.99 years","284","0.65%","94.98%","15","0.50%","5.02%","299","0.64%"
"23 to 23.99 years","317","0.73%","96.65%","11","0.37%","3.35%","328","0.70%"
"24 to 24.99 years","347","0.79%","97.20%","10","0.33%","2.80%","357","0.77%"
"25 to 25.99 years","309","0.71%","96.87%","10","0.33%","3.13%","319","0.68%"
"26 to 26.99 years","283","0.65%","98.95%","3","0.10%","1.05%","286","0.61%"
"27 to 27.99 years","227","0.52%","97.01%","7","0.23%","2.99%","234","0.50%"
"28 to 28.99 years","188","0.43%","98.95%","2","0.07%","1.05%","190","0.41%"
"29 to 29.99 years","157","0.36%","96.91%","5","0.17%","3.09%","162","0.35%"
"Thirty + years","1,242","2.84%","98.96%","13","0.44%","1.04%","1,255","2.69%"
"Total Reported","43,668","100%","93.60%","2,986","100%","6.40%","46,654","100%"
"Not Reported","47",,,"1",,,"48",
"Grand Total","43,715",,,"2,987",,,"46,702",
