"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,987","19.68%","90.27%","1,077","27.54%","9.73%","11,064","20.24%"
"1 to 1.99 years","7,530","14.84%","91.54%","696","17.80%","8.46%","8,226","15.05%"
"2 to 2.99 years","5,268","10.38%","91.91%","464","11.86%","8.09%","5,732","10.49%"
"3 to 3.99 years","4,141","8.16%","91.80%","370","9.46%","8.20%","4,511","8.25%"
"4 to 4.99 years","3,333","6.57%","92.66%","264","6.75%","7.34%","3,597","6.58%"
"5 to 5.99 years","2,614","5.15%","93.29%","188","4.81%","6.71%","2,802","5.13%"
"6 to 6.99 years","2,249","4.43%","93.51%","156","3.99%","6.49%","2,405","4.40%"
"7 to 7.99 years","2,067","4.07%","94.56%","119","3.04%","5.44%","2,186","4.00%"
"8 to 8.99 years","1,629","3.21%","94.38%","97","2.48%","5.62%","1,726","3.16%"
"9 to 9.99 years","1,437","2.83%","95.04%","75","1.92%","4.96%","1,512","2.77%"
"10 to 10.99 years","1,070","2.11%","94.86%","58","1.48%","5.14%","1,128","2.06%"
"11 to 11.99 years","1,119","2.21%","96.13%","45","1.15%","3.87%","1,164","2.13%"
"12 to 12.99 years","853","1.68%","96.28%","33","0.84%","3.72%","886","1.62%"
"13 to 13.99 years","710","1.40%","94.79%","39","1.00%","5.21%","749","1.37%"
"14 to 14.99 years","619","1.22%","96.12%","25","0.64%","3.88%","644","1.18%"
"15 to 15.99 years","540","1.06%","95.74%","24","0.61%","4.26%","564","1.03%"
"16 to 16.99 years","504","0.99%","94.74%","28","0.72%","5.26%","532","0.97%"
"17 to 17.99 years","492","0.97%","96.47%","18","0.46%","3.53%","510","0.93%"
"18 to 18.99 years","461","0.91%","96.65%","16","0.41%","3.35%","477","0.87%"
"19 to 19.99 years","426","0.84%","94.25%","26","0.66%","5.75%","452","0.83%"
"20 to 20.99 years","347","0.68%","94.55%","20","0.51%","5.45%","367","0.67%"
"21 to 21.99 years","392","0.77%","97.76%","9","0.23%","2.24%","401","0.73%"
"22 to 22.99 years","351","0.69%","98.04%","7","0.18%","1.96%","358","0.66%"
"23 to 23.99 years","342","0.67%","96.61%","12","0.31%","3.39%","354","0.65%"
"24 to 24.99 years","305","0.60%","97.13%","9","0.23%","2.87%","314","0.57%"
"25 to 25.99 years","270","0.53%","97.12%","8","0.20%","2.88%","278","0.51%"
"26 to 26.99 years","197","0.39%","97.52%","5","0.13%","2.48%","202","0.37%"
"27 to 27.99 years","207","0.41%","96.73%","7","0.18%","3.27%","214","0.39%"
"28 to 28.99 years","147","0.29%","96.71%","5","0.13%","3.29%","152","0.28%"
"29 to 29.99 years","110","0.22%","99.10%","1","0.03%","0.90%","111","0.20%"
"Thirty + years","1,028","2.03%","99.04%","10","0.26%","0.96%","1,038","1.90%"
"Total Reported","50,745","100%","92.84%","3,911","100%","7.16%","54,656","100%"
"Not Reported","47",,,"1",,,"48",
"Grand Total","50,792",,,"3,912",,,"54,704",
