"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","8,110","16.53%","88.96%","1,006","28.23%","11.04%","9,116","17.32%"
"1 to 1.99 years","10,736","21.88%","90.68%","1,104","30.98%","9.32%","11,840","22.50%"
"2 to 2.99 years","6,777","13.81%","93.41%","478","13.41%","6.59%","7,255","13.79%"
"3 to 3.99 years","4,184","8.53%","95.11%","215","6.03%","4.89%","4,399","8.36%"
"4 to 4.99 years","2,894","5.90%","95.61%","133","3.73%","4.39%","3,027","5.75%"
"5 to 5.99 years","2,273","4.63%","95.14%","116","3.25%","4.86%","2,389","4.54%"
"6 to 6.99 years","1,900","3.87%","95.81%","83","2.33%","4.19%","1,983","3.77%"
"7 to 7.99 years","1,727","3.52%","96.48%","63","1.77%","3.52%","1,790","3.40%"
"8 to 8.99 years","1,470","3.00%","95.83%","64","1.80%","4.17%","1,534","2.92%"
"9 to 9.99 years","1,439","2.93%","96.25%","56","1.57%","3.75%","1,495","2.84%"
"10 to 10.99 years","1,068","2.18%","96.04%","44","1.23%","3.96%","1,112","2.11%"
"11 to 11.99 years","1,069","2.18%","96.74%","36","1.01%","3.26%","1,105","2.10%"
"12 to 12.99 years","805","1.64%","97.22%","23","0.65%","2.78%","828","1.57%"
"13 to 13.99 years","729","1.49%","96.56%","26","0.73%","3.44%","755","1.43%"
"14 to 14.99 years","667","1.36%","95.15%","34","0.95%","4.85%","701","1.33%"
"15 to 15.99 years","520","1.06%","97.56%","13","0.36%","2.44%","533","1.01%"
"16 to 16.99 years","426","0.87%","96.60%","15","0.42%","3.40%","441","0.84%"
"17 to 17.99 years","419","0.85%","97.44%","11","0.31%","2.56%","430","0.82%"
"18 to 18.99 years","324","0.66%","95.58%","15","0.42%","4.42%","339","0.64%"
"19 to 19.99 years","273","0.56%","98.91%","3","0.08%","1.09%","276","0.52%"
"20 to 20.99 years","222","0.45%","95.69%","10","0.28%","4.31%","232","0.44%"
"21 to 21.99 years","172","0.35%","98.29%","3","0.08%","1.71%","175","0.33%"
"22 to 22.99 years","155","0.32%","98.73%","2","0.06%","1.27%","157","0.30%"
"23 to 23.99 years","134","0.27%","97.81%","3","0.08%","2.19%","137","0.26%"
"24 to 24.99 years","107","0.22%","97.27%","3","0.08%","2.73%","110","0.21%"
"25 to 25.99 years","77","0.16%","98.72%","1","0.03%","1.28%","78","0.15%"
"26 to 26.99 years","67","0.14%","98.53%","1","0.03%","1.47%","68","0.13%"
"27 to 27.99 years","58","0.12%","98.31%","1","0.03%","1.69%","59","0.11%"
"28 to 28.99 years","62","0.13%","100.00%","","","","62","0.12%"
"29 to 29.99 years","30","0.06%","96.77%","1","0.03%","3.23%","31","0.06%"
"Thirty + years","164","0.33%","99.39%","1","0.03%","0.61%","165","0.31%"
"Total Reported","49,058","100%","93.23%","3,564","100%","6.77%","52,622","100%"
"Not Reported","897",,,"41",,,"938",
"Grand Total","49,955",,,"3,605",,,"53,560",
