"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","8,781","18.56%","88.80%","1,108","32.32%","11.20%","9,889","19.49%"
"1 to 1.99 years","9,862","20.84%","91.00%","975","28.44%","9.00%","10,837","21.36%"
"2 to 2.99 years","5,839","12.34%","93.89%","380","11.09%","6.11%","6,219","12.26%"
"3 to 3.99 years","3,907","8.26%","94.72%","218","6.36%","5.28%","4,125","8.13%"
"4 to 4.99 years","2,957","6.25%","95.17%","150","4.38%","4.83%","3,107","6.12%"
"5 to 5.99 years","2,350","4.97%","95.61%","108","3.15%","4.39%","2,458","4.84%"
"6 to 6.99 years","1,936","4.09%","95.98%","81","2.36%","4.02%","2,017","3.98%"
"7 to 7.99 years","1,806","3.82%","95.61%","83","2.42%","4.39%","1,889","3.72%"
"8 to 8.99 years","1,690","3.57%","96.30%","65","1.90%","3.70%","1,755","3.46%"
"9 to 9.99 years","1,645","3.48%","96.59%","58","1.69%","3.41%","1,703","3.36%"
"10 to 10.99 years","986","2.08%","97.24%","28","0.82%","2.76%","1,014","2.00%"
"11 to 11.99 years","890","1.88%","96.53%","32","0.93%","3.47%","922","1.82%"
"12 to 12.99 years","747","1.58%","95.77%","33","0.96%","4.23%","780","1.54%"
"13 to 13.99 years","694","1.47%","97.06%","21","0.61%","2.94%","715","1.41%"
"14 to 14.99 years","549","1.16%","97.17%","16","0.47%","2.83%","565","1.11%"
"15 to 15.99 years","483","1.02%","96.99%","15","0.44%","3.01%","498","0.98%"
"16 to 16.99 years","376","0.79%","95.92%","16","0.47%","4.08%","392","0.77%"
"17 to 17.99 years","310","0.66%","98.10%","6","0.18%","1.90%","316","0.62%"
"18 to 18.99 years","278","0.59%","96.19%","11","0.32%","3.81%","289","0.57%"
"19 to 19.99 years","222","0.47%","97.80%","5","0.15%","2.20%","227","0.45%"
"20 to 20.99 years","182","0.38%","97.85%","4","0.12%","2.15%","186","0.37%"
"21 to 21.99 years","150","0.32%","97.40%","4","0.12%","2.60%","154","0.30%"
"22 to 22.99 years","120","0.25%","96.77%","4","0.12%","3.23%","124","0.24%"
"23 to 23.99 years","89","0.19%","98.89%","1","0.03%","1.11%","90","0.18%"
"24 to 24.99 years","88","0.19%","97.78%","2","0.06%","2.22%","90","0.18%"
"25 to 25.99 years","86","0.18%","100.00%","","","","86","0.17%"
"26 to 26.99 years","64","0.14%","98.46%","1","0.03%","1.54%","65","0.13%"
"27 to 27.99 years","44","0.09%","97.78%","1","0.03%","2.22%","45","0.09%"
"28 to 28.99 years","41","0.09%","100.00%","","","","41","0.08%"
"29 to 29.99 years","38","0.08%","100.00%","","","","38","0.07%"
"Thirty + years","102","0.22%","98.08%","2","0.06%","1.92%","104","0.20%"
"Total Reported","47,312","100%","93.24%","3,428","100%","6.76%","50,740","100%"
"Not Reported","1,573",,,"140",,,"1,713",
"Grand Total","48,885",,,"3,568",,,"52,453",
