"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","10,491","20.43%","89.80%","1,192","31.94%","10.20%","11,683","21.21%"
"1 to 1.99 years","9,485","18.47%","90.18%","1,033","27.68%","9.82%","10,518","19.09%"
"2 to 2.99 years","6,510","12.68%","92.71%","512","13.72%","7.29%","7,022","12.75%"
"3 to 3.99 years","4,066","7.92%","94.96%","216","5.79%","5.04%","4,282","7.77%"
"4 to 4.99 years","3,285","6.40%","95.80%","144","3.86%","4.20%","3,429","6.22%"
"5 to 5.99 years","2,246","4.37%","95.45%","107","2.87%","4.55%","2,353","4.27%"
"6 to 6.99 years","1,698","3.31%","95.99%","71","1.90%","4.01%","1,769","3.21%"
"7 to 7.99 years","1,460","2.84%","96.05%","60","1.61%","3.95%","1,520","2.76%"
"8 to 8.99 years","1,418","2.76%","95.75%","63","1.69%","4.25%","1,481","2.69%"
"9 to 9.99 years","1,292","2.52%","95.70%","58","1.55%","4.30%","1,350","2.45%"
"10 to 10.99 years","977","1.90%","96.73%","33","0.88%","3.27%","1,010","1.83%"
"11 to 11.99 years","881","1.72%","95.97%","37","0.99%","4.03%","918","1.67%"
"12 to 12.99 years","760","1.48%","96.08%","31","0.83%","3.92%","791","1.44%"
"13 to 13.99 years","803","1.56%","96.17%","32","0.86%","3.83%","835","1.52%"
"14 to 14.99 years","833","1.62%","97.54%","21","0.56%","2.46%","854","1.55%"
"15 to 15.99 years","593","1.15%","96.58%","21","0.56%","3.42%","614","1.11%"
"16 to 16.99 years","552","1.07%","97.53%","14","0.38%","2.47%","566","1.03%"
"17 to 17.99 years","487","0.95%","96.06%","20","0.54%","3.94%","507","0.92%"
"18 to 18.99 years","459","0.89%","98.08%","9","0.24%","1.92%","468","0.85%"
"19 to 19.99 years","348","0.68%","96.67%","12","0.32%","3.33%","360","0.65%"
"20 to 20.99 years","315","0.61%","96.92%","10","0.27%","3.08%","325","0.59%"
"21 to 21.99 years","223","0.43%","96.54%","8","0.21%","3.46%","231","0.42%"
"22 to 22.99 years","202","0.39%","98.54%","3","0.08%","1.46%","205","0.37%"
"23 to 23.99 years","195","0.38%","97.50%","5","0.13%","2.50%","200","0.36%"
"24 to 24.99 years","159","0.31%","98.76%","2","0.05%","1.24%","161","0.29%"
"25 to 25.99 years","129","0.25%","99.23%","1","0.03%","0.77%","130","0.24%"
"26 to 26.99 years","104","0.20%","98.11%","2","0.05%","1.89%","106","0.19%"
"27 to 27.99 years","96","0.19%","97.96%","2","0.05%","2.04%","98","0.18%"
"28 to 28.99 years","65","0.13%","97.01%","2","0.05%","2.99%","67","0.12%"
"29 to 29.99 years","49","0.10%","100.00%","","","","49","0.09%"
"Thirty + years","1,175","2.29%","99.07%","11","0.29%","0.93%","1,186","2.15%"
"Total Reported","51,356","100%","93.23%","3,732","100%","6.77%","55,088","100%"
"Not Reported","281",,,"11",,,"292",
"Grand Total","51,637",,,"3,743",,,"55,380",
