"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,605","19.04%","91.08%","941","24.89%","8.92%","10,546","19.45%"
"1 to 1.99 years","7,430","14.73%","91.09%","727","19.23%","8.91%","8,157","15.04%"
"2 to 2.99 years","5,383","10.67%","91.63%","492","13.02%","8.37%","5,875","10.84%"
"3 to 3.99 years","4,169","8.26%","92.07%","359","9.50%","7.93%","4,528","8.35%"
"4 to 4.99 years","3,470","6.88%","92.53%","280","7.41%","7.47%","3,750","6.92%"
"5 to 5.99 years","2,968","5.88%","93.42%","209","5.53%","6.58%","3,177","5.86%"
"6 to 6.99 years","2,149","4.26%","94.46%","126","3.33%","5.54%","2,275","4.20%"
"7 to 7.99 years","2,002","3.97%","94.84%","109","2.88%","5.16%","2,111","3.89%"
"8 to 8.99 years","1,568","3.11%","95.03%","82","2.17%","4.97%","1,650","3.04%"
"9 to 9.99 years","1,703","3.38%","95.73%","76","2.01%","4.27%","1,779","3.28%"
"10 to 10.99 years","1,125","2.23%","94.78%","62","1.64%","5.22%","1,187","2.19%"
"11 to 11.99 years","892","1.77%","94.99%","47","1.24%","5.01%","939","1.73%"
"12 to 12.99 years","729","1.45%","96.05%","30","0.79%","3.95%","759","1.40%"
"13 to 13.99 years","726","1.44%","95.65%","33","0.87%","4.35%","759","1.40%"
"14 to 14.99 years","658","1.30%","95.64%","30","0.79%","4.36%","688","1.27%"
"15 to 15.99 years","566","1.12%","96.42%","21","0.56%","3.58%","587","1.08%"
"16 to 16.99 years","532","1.05%","96.90%","17","0.45%","3.10%","549","1.01%"
"17 to 17.99 years","496","0.98%","94.66%","28","0.74%","5.34%","524","0.97%"
"18 to 18.99 years","459","0.91%","95.43%","22","0.58%","4.57%","481","0.89%"
"19 to 19.99 years","521","1.03%","97.75%","12","0.32%","2.25%","533","0.98%"
"20 to 20.99 years","397","0.79%","97.78%","9","0.24%","2.22%","406","0.75%"
"21 to 21.99 years","368","0.73%","96.59%","13","0.34%","3.41%","381","0.70%"
"22 to 22.99 years","334","0.66%","97.09%","10","0.26%","2.91%","344","0.63%"
"23 to 23.99 years","308","0.61%","97.16%","9","0.24%","2.84%","317","0.58%"
"24 to 24.99 years","237","0.47%","97.13%","7","0.19%","2.87%","244","0.45%"
"25 to 25.99 years","235","0.47%","96.71%","8","0.21%","3.29%","243","0.45%"
"26 to 26.99 years","169","0.34%","96.57%","6","0.16%","3.43%","175","0.32%"
"27 to 27.99 years","126","0.25%","97.67%","3","0.08%","2.33%","129","0.24%"
"28 to 28.99 years","144","0.29%","100.00%","","","","144","0.27%"
"29 to 29.99 years","129","0.26%","98.47%","2","0.05%","1.53%","131","0.24%"
"Thirty + years","844","1.67%","98.83%","10","0.26%","1.17%","854","1.58%"
"Total Reported","50,442","100%","93.03%","3,780","100%","6.97%","54,222","100%"
"Not Reported","68",,,"5",,,"73",
"Grand Total","50,510",,,"3,785",,,"54,295",
