"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,830","19.66%","90.45%","1,038","27.72%","9.55%","10,868","20.23%"
"1 to 1.99 years","7,480","14.96%","91.70%","677","18.08%","8.30%","8,157","15.18%"
"2 to 2.99 years","5,101","10.20%","91.42%","479","12.79%","8.58%","5,580","10.38%"
"3 to 3.99 years","4,196","8.39%","92.08%","361","9.64%","7.92%","4,557","8.48%"
"4 to 4.99 years","3,560","7.12%","92.83%","275","7.35%","7.17%","3,835","7.14%"
"5 to 5.99 years","2,685","5.37%","93.68%","181","4.83%","6.32%","2,866","5.33%"
"6 to 6.99 years","2,225","4.45%","94.92%","119","3.18%","5.08%","2,344","4.36%"
"7 to 7.99 years","1,806","3.61%","94.90%","97","2.59%","5.10%","1,903","3.54%"
"8 to 8.99 years","1,846","3.69%","95.90%","79","2.11%","4.10%","1,925","3.58%"
"9 to 9.99 years","1,564","3.13%","95.19%","79","2.11%","4.81%","1,643","3.06%"
"10 to 10.99 years","1,013","2.03%","95.21%","51","1.36%","4.79%","1,064","1.98%"
"11 to 11.99 years","823","1.65%","95.92%","35","0.93%","4.08%","858","1.60%"
"12 to 12.99 years","742","1.48%","95.01%","39","1.04%","4.99%","781","1.45%"
"13 to 13.99 years","737","1.47%","95.71%","33","0.88%","4.29%","770","1.43%"
"14 to 14.99 years","656","1.31%","96.33%","25","0.67%","3.67%","681","1.27%"
"15 to 15.99 years","565","1.13%","97.08%","17","0.45%","2.92%","582","1.08%"
"16 to 16.99 years","531","1.06%","94.82%","29","0.77%","5.18%","560","1.04%"
"17 to 17.99 years","478","0.96%","94.84%","26","0.69%","5.16%","504","0.94%"
"18 to 18.99 years","556","1.11%","97.72%","13","0.35%","2.28%","569","1.06%"
"19 to 19.99 years","516","1.03%","97.54%","13","0.35%","2.46%","529","0.98%"
"20 to 20.99 years","392","0.78%","96.79%","13","0.35%","3.21%","405","0.75%"
"21 to 21.99 years","359","0.72%","96.77%","12","0.32%","3.23%","371","0.69%"
"22 to 22.99 years","312","0.62%","96.30%","12","0.32%","3.70%","324","0.60%"
"23 to 23.99 years","261","0.52%","97.39%","7","0.19%","2.61%","268","0.50%"
"24 to 24.99 years","248","0.50%","96.50%","9","0.24%","3.50%","257","0.48%"
"25 to 25.99 years","185","0.37%","96.86%","6","0.16%","3.14%","191","0.36%"
"26 to 26.99 years","156","0.31%","98.11%","3","0.08%","1.89%","159","0.30%"
"27 to 27.99 years","151","0.30%","99.34%","1","0.03%","0.66%","152","0.28%"
"28 to 28.99 years","132","0.26%","97.06%","4","0.11%","2.94%","136","0.25%"
"29 to 29.99 years","93","0.19%","100.00%","","","","93","0.17%"
"Thirty + years","792","1.58%","98.63%","11","0.29%","1.37%","803","1.49%"
"Total Reported","49,991","100%","93.03%","3,744","100%","6.97%","53,735","100%"
"Not Reported","71",,,"6",,,"77",
"Grand Total","50,062",,,"3,750",,,"53,812",
