"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","5,271","11.83%","91.15%","512","16.46%","8.85%","5,783","12.13%"
"1 to 1.99 years","6,774","15.20%","91.32%","644","20.71%","8.68%","7,418","15.56%"
"2 to 2.99 years","4,936","11.08%","91.48%","460","14.79%","8.52%","5,396","11.32%"
"3 to 3.99 years","3,967","8.90%","92.90%","303","9.74%","7.10%","4,270","8.96%"
"4 to 4.99 years","3,171","7.12%","94.07%","200","6.43%","5.93%","3,371","7.07%"
"5 to 5.99 years","2,503","5.62%","93.71%","168","5.40%","6.29%","2,671","5.60%"
"6 to 6.99 years","2,116","4.75%","93.92%","137","4.41%","6.08%","2,253","4.73%"
"7 to 7.99 years","1,881","4.22%","95.00%","99","3.18%","5.00%","1,980","4.15%"
"8 to 8.99 years","1,696","3.81%","94.75%","94","3.02%","5.25%","1,790","3.76%"
"9 to 9.99 years","1,453","3.26%","94.91%","78","2.51%","5.09%","1,531","3.21%"
"10 to 10.99 years","1,086","2.44%","95.10%","56","1.80%","4.90%","1,142","2.40%"
"11 to 11.99 years","957","2.15%","95.41%","46","1.48%","4.59%","1,003","2.10%"
"12 to 12.99 years","812","1.82%","95.98%","34","1.09%","4.02%","846","1.77%"
"13 to 13.99 years","874","1.96%","95.94%","37","1.19%","4.06%","911","1.91%"
"14 to 14.99 years","711","1.60%","96.21%","28","0.90%","3.79%","739","1.55%"
"15 to 15.99 years","547","1.23%","94.80%","30","0.96%","5.20%","577","1.21%"
"16 to 16.99 years","468","1.05%","94.35%","28","0.90%","5.65%","496","1.04%"
"17 to 17.99 years","490","1.10%","95.70%","22","0.71%","4.30%","512","1.07%"
"18 to 18.99 years","452","1.01%","94.76%","25","0.80%","5.24%","477","1.00%"
"19 to 19.99 years","447","1.00%","97.60%","11","0.35%","2.40%","458","0.96%"
"20 to 20.99 years","361","0.81%","96.27%","14","0.45%","3.73%","375","0.79%"
"21 to 21.99 years","322","0.72%","95.55%","15","0.48%","4.45%","337","0.71%"
"22 to 22.99 years","311","0.70%","95.40%","15","0.48%","4.60%","326","0.68%"
"23 to 23.99 years","340","0.76%","97.42%","9","0.29%","2.58%","349","0.73%"
"24 to 24.99 years","343","0.77%","97.72%","8","0.26%","2.28%","351","0.74%"
"25 to 25.99 years","300","0.67%","97.72%","7","0.23%","2.28%","307","0.64%"
"26 to 26.99 years","260","0.58%","97.74%","6","0.19%","2.26%","266","0.56%"
"27 to 27.99 years","224","0.50%","97.82%","5","0.16%","2.18%","229","0.48%"
"28 to 28.99 years","160","0.36%","97.56%","4","0.13%","2.44%","164","0.34%"
"29 to 29.99 years","171","0.38%","97.16%","5","0.16%","2.84%","176","0.37%"
"Thirty + years","1,148","2.58%","99.14%","10","0.32%","0.86%","1,158","2.43%"
"Total Reported","44,552","100%","93.47%","3,110","100%","6.53%","47,662","100%"
"Not Reported","45",,,"2",,,"47",
"Grand Total","44,597",,,"3,112",,,"47,709",
