"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","8,693","18.73%","88.80%","1,096","33.64%","11.20%","9,789","19.71%"
"1 to 1.99 years","9,400","20.25%","91.64%","858","26.34%","8.36%","10,258","20.65%"
"2 to 2.99 years","5,555","11.97%","93.90%","361","11.08%","6.10%","5,916","11.91%"
"3 to 3.99 years","3,954","8.52%","95.00%","208","6.38%","5.00%","4,162","8.38%"
"4 to 4.99 years","3,028","6.52%","95.28%","150","4.60%","4.72%","3,178","6.40%"
"5 to 5.99 years","2,294","4.94%","96.06%","94","2.89%","3.94%","2,388","4.81%"
"6 to 6.99 years","2,000","4.31%","95.37%","97","2.98%","4.63%","2,097","4.22%"
"7 to 7.99 years","1,898","4.09%","95.62%","87","2.67%","4.38%","1,985","4.00%"
"8 to 8.99 years","1,723","3.71%","96.53%","62","1.90%","3.47%","1,785","3.59%"
"9 to 9.99 years","1,561","3.36%","97.32%","43","1.32%","2.68%","1,604","3.23%"
"10 to 10.99 years","964","2.08%","96.98%","30","0.92%","3.02%","994","2.00%"
"11 to 11.99 years","858","1.85%","96.19%","34","1.04%","3.81%","892","1.80%"
"12 to 12.99 years","799","1.72%","95.69%","36","1.10%","4.31%","835","1.68%"
"13 to 13.99 years","614","1.32%","96.85%","20","0.61%","3.15%","634","1.28%"
"14 to 14.99 years","558","1.20%","96.71%","19","0.58%","3.29%","577","1.16%"
"15 to 15.99 years","443","0.95%","96.51%","16","0.49%","3.49%","459","0.92%"
"16 to 16.99 years","357","0.77%","97.54%","9","0.28%","2.46%","366","0.74%"
"17 to 17.99 years","295","0.64%","97.36%","8","0.25%","2.64%","303","0.61%"
"18 to 18.99 years","261","0.56%","97.03%","8","0.25%","2.97%","269","0.54%"
"19 to 19.99 years","212","0.46%","97.25%","6","0.18%","2.75%","218","0.44%"
"20 to 20.99 years","180","0.39%","97.30%","5","0.15%","2.70%","185","0.37%"
"21 to 21.99 years","130","0.28%","97.01%","4","0.12%","2.99%","134","0.27%"
"22 to 22.99 years","104","0.22%","98.11%","2","0.06%","1.89%","106","0.21%"
"23 to 23.99 years","85","0.18%","98.84%","1","0.03%","1.16%","86","0.17%"
"24 to 24.99 years","108","0.23%","98.18%","2","0.06%","1.82%","110","0.22%"
"25 to 25.99 years","76","0.16%","98.70%","1","0.03%","1.30%","77","0.16%"
"26 to 26.99 years","54","0.12%","100.00%","","","","54","0.11%"
"27 to 27.99 years","41","0.09%","100.00%","","","","41","0.08%"
"28 to 28.99 years","41","0.09%","100.00%","","","","41","0.08%"
"29 to 29.99 years","37","0.08%","100.00%","","","","37","0.07%"
"Thirty + years","90","0.19%","98.90%","1","0.03%","1.10%","91","0.18%"
"Total Reported","46,413","100%","93.44%","3,258","100%","6.56%","49,671","100%"
"Not Reported","1,288",,,"92",,,"1,380",
"Grand Total","47,701",,,"3,350",,,"51,051",
