"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","6,048","12.53%","87.15%","891","24.60%","12.84%","6,940","13.37%"
"1 to 1.99 years","10,557","21.87%","90.52%","1,103","30.45%","9.46%","11,662","22.47%"
"2 to 2.99 years","7,322","15.17%","92.91%","559","15.43%","7.09%","7,881","15.18%"
"3 to 3.99 years","4,522","9.37%","94.25%","276","7.62%","5.75%","4,798","9.24%"
"4 to 4.99 years","3,135","6.49%","95.20%","158","4.36%","4.80%","3,293","6.34%"
"5 to 5.99 years","2,158","4.47%","95.78%","95","2.62%","4.22%","2,253","4.34%"
"6 to 6.99 years","1,912","3.96%","95.89%","82","2.26%","4.11%","1,994","3.84%"
"7 to 7.99 years","1,652","3.42%","95.44%","79","2.18%","4.56%","1,731","3.34%"
"8 to 8.99 years","1,540","3.19%","96.37%","58","1.60%","3.63%","1,598","3.08%"
"9 to 9.99 years","1,368","2.83%","95.60%","63","1.74%","4.40%","1,431","2.76%"
"10 to 10.99 years","984","2.04%","96.09%","39","1.08%","3.81%","1,024","1.97%"
"11 to 11.99 years","972","2.01%","96.62%","34","0.94%","3.38%","1,006","1.94%"
"12 to 12.99 years","941","1.95%","96.91%","30","0.83%","3.09%","971","1.87%"
"13 to 13.99 years","768","1.59%","96.73%","26","0.72%","3.27%","794","1.53%"
"14 to 14.99 years","696","1.44%","97.21%","20","0.55%","2.79%","716","1.38%"
"15 to 15.99 years","566","1.17%","96.10%","23","0.64%","3.90%","589","1.13%"
"16 to 16.99 years","537","1.11%","97.46%","14","0.39%","2.54%","551","1.06%"
"17 to 17.99 years","396","0.82%","96.82%","13","0.36%","3.18%","409","0.79%"
"18 to 18.99 years","401","0.83%","97.33%","11","0.30%","2.67%","412","0.79%"
"19 to 19.99 years","324","0.67%","96.14%","13","0.36%","3.86%","337","0.65%"
"20 to 20.99 years","227","0.47%","97.42%","6","0.17%","2.58%","233","0.45%"
"21 to 21.99 years","213","0.44%","96.38%","8","0.22%","3.62%","221","0.43%"
"22 to 22.99 years","193","0.40%","97.97%","4","0.11%","2.03%","197","0.38%"
"23 to 23.99 years","146","0.30%","98.65%","2","0.06%","1.35%","148","0.29%"
"24 to 24.99 years","129","0.27%","98.47%","2","0.06%","1.53%","131","0.25%"
"25 to 25.99 years","112","0.23%","95.73%","5","0.14%","4.27%","117","0.23%"
"26 to 26.99 years","79","0.16%","96.34%","3","0.08%","3.66%","82","0.16%"
"27 to 27.99 years","65","0.13%","98.48%","1","0.03%","1.52%","66","0.13%"
"28 to 28.99 years","70","0.14%","98.59%","1","0.03%","1.41%","71","0.14%"
"29 to 29.99 years","53","0.11%","98.15%","1","0.03%","1.85%","54","0.10%"
"Thirty + years","190","0.39%","98.96%","2","0.06%","1.04%","192","0.37%"
"Total Reported","48,276","100%","93.01%","3,622","100%","6.98%","51,902","100%"
"Not Reported","1,276",,,"113",,,"1,389",
"Grand Total","49,552",,,"3,735",,,"53,291",
