"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","8,290","18.15%","88.36%","1,092","33.89%","11.64%","9,382","19.19%"
"1 to 1.99 years","9,013","19.73%","91.62%","824","25.57%","8.38%","9,837","20.12%"
"2 to 2.99 years","5,586","12.23%","93.95%","360","11.17%","6.05%","5,946","12.16%"
"3 to 3.99 years","3,985","8.72%","95.13%","204","6.33%","4.87%","4,189","8.57%"
"4 to 4.99 years","3,077","6.74%","95.00%","162","5.03%","5.00%","3,239","6.62%"
"5 to 5.99 years","2,237","4.90%","96.13%","90","2.79%","3.87%","2,327","4.76%"
"6 to 6.99 years","2,000","4.38%","95.15%","102","3.17%","4.85%","2,102","4.30%"
"7 to 7.99 years","1,970","4.31%","95.77%","87","2.70%","4.23%","2,057","4.21%"
"8 to 8.99 years","1,745","3.82%","96.62%","61","1.89%","3.38%","1,806","3.69%"
"9 to 9.99 years","1,530","3.35%","97.51%","39","1.21%","2.49%","1,569","3.21%"
"10 to 10.99 years","970","2.12%","96.90%","31","0.96%","3.10%","1,001","2.05%"
"11 to 11.99 years","836","1.83%","96.54%","30","0.93%","3.46%","866","1.77%"
"12 to 12.99 years","796","1.74%","95.56%","37","1.15%","4.44%","833","1.70%"
"13 to 13.99 years","611","1.34%","96.68%","21","0.65%","3.32%","632","1.29%"
"14 to 14.99 years","570","1.25%","96.61%","20","0.62%","3.39%","590","1.21%"
"15 to 15.99 years","426","0.93%","96.82%","14","0.43%","3.18%","440","0.90%"
"16 to 16.99 years","326","0.71%","97.90%","7","0.22%","2.10%","333","0.68%"
"17 to 17.99 years","305","0.67%","97.13%","9","0.28%","2.87%","314","0.64%"
"18 to 18.99 years","263","0.58%","96.69%","9","0.28%","3.31%","272","0.56%"
"19 to 19.99 years","204","0.45%","97.14%","6","0.19%","2.86%","210","0.43%"
"20 to 20.99 years","182","0.40%","97.33%","5","0.16%","2.67%","187","0.38%"
"21 to 21.99 years","124","0.27%","96.12%","5","0.16%","3.88%","129","0.26%"
"22 to 22.99 years","105","0.23%","98.13%","2","0.06%","1.87%","107","0.22%"
"23 to 23.99 years","81","0.18%","100.00%","","","","81","0.17%"
"24 to 24.99 years","108","0.24%","98.18%","2","0.06%","1.82%","110","0.22%"
"25 to 25.99 years","76","0.17%","98.70%","1","0.03%","1.30%","77","0.16%"
"26 to 26.99 years","53","0.12%","98.15%","1","0.03%","1.85%","54","0.11%"
"27 to 27.99 years","45","0.10%","100.00%","","","","45","0.09%"
"28 to 28.99 years","36","0.08%","100.00%","","","","36","0.07%"
"29 to 29.99 years","36","0.08%","100.00%","","","","36","0.07%"
"Thirty + years","88","0.19%","98.88%","1","0.03%","1.12%","89","0.18%"
"Total Reported","45,674","100%","93.41%","3,222","100%","6.59%","48,896","100%"
"Not Reported","989",,,"68",,,"1,057",
"Grand Total","46,663",,,"3,290",,,"49,953",
