"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,218","18.26%","90.54%","963","25.15%","9.46%","10,181","18.74%"
"1 to 1.99 years","7,563","14.98%","91.67%","687","17.94%","8.33%","8,250","15.19%"
"2 to 2.99 years","5,368","10.63%","91.34%","509","13.29%","8.66%","5,877","10.82%"
"3 to 3.99 years","4,217","8.35%","92.09%","362","9.45%","7.91%","4,579","8.43%"
"4 to 4.99 years","3,418","6.77%","92.33%","284","7.42%","7.67%","3,702","6.82%"
"5 to 5.99 years","2,881","5.71%","93.54%","199","5.20%","6.46%","3,080","5.67%"
"6 to 6.99 years","2,462","4.88%","93.97%","158","4.13%","6.03%","2,620","4.82%"
"7 to 7.99 years","1,837","3.64%","94.25%","112","2.93%","5.75%","1,949","3.59%"
"8 to 8.99 years","1,722","3.41%","94.41%","102","2.66%","5.59%","1,824","3.36%"
"9 to 9.99 years","1,466","2.90%","95.69%","66","1.72%","4.31%","1,532","2.82%"
"10 to 10.99 years","1,256","2.49%","95.66%","57","1.49%","4.34%","1,313","2.42%"
"11 to 11.99 years","995","1.97%","95.86%","43","1.12%","4.14%","1,038","1.91%"
"12 to 12.99 years","735","1.46%","95.33%","36","0.94%","4.67%","771","1.42%"
"13 to 13.99 years","674","1.34%","95.74%","30","0.78%","4.26%","704","1.30%"
"14 to 14.99 years","689","1.36%","95.43%","33","0.86%","4.57%","722","1.33%"
"15 to 15.99 years","521","1.03%","95.07%","27","0.71%","4.93%","548","1.01%"
"16 to 16.99 years","543","1.08%","97.31%","15","0.39%","2.69%","558","1.03%"
"17 to 17.99 years","505","1.00%","95.64%","23","0.60%","4.36%","528","0.97%"
"18 to 18.99 years","436","0.86%","95.40%","21","0.55%","4.60%","457","0.84%"
"19 to 19.99 years","477","0.94%","96.17%","19","0.50%","3.83%","496","0.91%"
"20 to 20.99 years","420","0.83%","97.45%","11","0.29%","2.55%","431","0.79%"
"21 to 21.99 years","389","0.77%","96.77%","13","0.34%","3.23%","402","0.74%"
"22 to 22.99 years","339","0.67%","97.69%","8","0.21%","2.31%","347","0.64%"
"23 to 23.99 years","314","0.62%","96.62%","11","0.29%","3.38%","325","0.60%"
"24 to 24.99 years","285","0.56%","98.28%","5","0.13%","1.72%","290","0.53%"
"25 to 25.99 years","215","0.43%","95.98%","9","0.24%","4.02%","224","0.41%"
"26 to 26.99 years","210","0.42%","96.33%","8","0.21%","3.67%","218","0.40%"
"27 to 27.99 years","147","0.29%","96.08%","6","0.16%","3.92%","153","0.28%"
"28 to 28.99 years","126","0.25%","99.21%","1","0.03%","0.79%","127","0.23%"
"29 to 29.99 years","138","0.27%","99.28%","1","0.03%","0.72%","139","0.26%"
"Thirty + years","919","1.82%","98.92%","10","0.26%","1.08%","929","1.71%"
"Total Reported","50,485","100%","92.95%","3,829","100%","7.05%","54,314","100%"
"Not Reported","61",,,"5",,,"66",
"Grand Total","50,546",,,"3,834",,,"54,380",
