"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","10,082","20.44%","88.91%","1,258","33.97%","11.09%","11,340","21.39%"
"1 to 1.99 years","9,161","18.57%","89.89%","1,030","27.82%","10.11%","10,191","19.22%"
"2 to 2.99 years","6,101","12.37%","93.20%","445","12.02%","6.80%","6,546","12.34%"
"3 to 3.99 years","4,318","8.75%","95.34%","211","5.70%","4.66%","4,529","8.54%"
"4 to 4.99 years","3,210","6.51%","95.54%","150","4.05%","4.46%","3,360","6.34%"
"5 to 5.99 years","2,185","4.43%","96.09%","89","2.40%","3.91%","2,274","4.29%"
"6 to 6.99 years","1,659","3.36%","95.95%","70","1.89%","4.05%","1,729","3.26%"
"7 to 7.99 years","1,467","2.97%","95.82%","64","1.73%","4.18%","1,531","2.89%"
"8 to 8.99 years","1,468","2.98%","95.89%","63","1.70%","4.11%","1,531","2.89%"
"9 to 9.99 years","1,280","2.60%","96.02%","53","1.43%","3.98%","1,333","2.51%"
"10 to 10.99 years","969","1.96%","96.71%","33","0.89%","3.29%","1,002","1.89%"
"11 to 11.99 years","867","1.76%","95.91%","37","1.00%","4.09%","904","1.70%"
"12 to 12.99 years","779","1.58%","96.05%","32","0.86%","3.95%","811","1.53%"
"13 to 13.99 years","815","1.65%","96.22%","32","0.86%","3.78%","847","1.60%"
"14 to 14.99 years","835","1.69%","97.32%","23","0.62%","2.68%","858","1.62%"
"15 to 15.99 years","587","1.19%","97.02%","18","0.49%","2.98%","605","1.14%"
"16 to 16.99 years","549","1.11%","97.34%","15","0.41%","2.66%","564","1.06%"
"17 to 17.99 years","501","1.02%","95.43%","24","0.65%","4.57%","525","0.99%"
"18 to 18.99 years","411","0.83%","98.33%","7","0.19%","1.67%","418","0.79%"
"19 to 19.99 years","355","0.72%","96.73%","12","0.32%","3.27%","367","0.69%"
"20 to 20.99 years","310","0.63%","97.48%","8","0.22%","2.52%","318","0.60%"
"21 to 21.99 years","218","0.44%","95.20%","11","0.30%","4.80%","229","0.43%"
"22 to 22.99 years","194","0.39%","98.48%","3","0.08%","1.52%","197","0.37%"
"23 to 23.99 years","191","0.39%","96.95%","6","0.16%","3.05%","197","0.37%"
"24 to 24.99 years","143","0.29%","99.31%","1","0.03%","0.69%","144","0.27%"
"25 to 25.99 years","131","0.27%","97.76%","3","0.08%","2.24%","134","0.25%"
"26 to 26.99 years","99","0.20%","99.00%","1","0.03%","1.00%","100","0.19%"
"27 to 27.99 years","89","0.18%","98.89%","1","0.03%","1.11%","90","0.17%"
"28 to 28.99 years","59","0.12%","98.33%","1","0.03%","1.67%","60","0.11%"
"29 to 29.99 years","52","0.11%","100.00%","","","","52","0.10%"
"Thirty + years","239","0.48%","99.17%","2","0.05%","0.83%","241","0.45%"
"Total Reported","49,324","100%","93.02%","3,703","100%","6.98%","53,027","100%"
"Not Reported","305",,,"19",,,"324",
"Grand Total","49,629",,,"3,722",,,"53,351",
