"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","7,635","15.84%","87.45%","1,096","30.04%","12.55%","8,731","16.84%"
"1 to 1.99 years","10,557","21.90%","90.60%","1,095","30.01%","9.40%","11,652","22.47%"
"2 to 2.99 years","6,601","13.69%","93.37%","469","12.85%","6.63%","7,070","13.63%"
"3 to 3.99 years","4,244","8.80%","94.75%","235","6.44%","5.25%","4,479","8.64%"
"4 to 4.99 years","2,852","5.92%","95.45%","136","3.73%","4.55%","2,988","5.76%"
"5 to 5.99 years","2,195","4.55%","96.02%","91","2.49%","3.98%","2,286","4.41%"
"6 to 6.99 years","1,878","3.90%","95.38%","91","2.49%","4.62%","1,969","3.80%"
"7 to 7.99 years","1,734","3.60%","96.07%","71","1.95%","3.93%","1,805","3.48%"
"8 to 8.99 years","1,498","3.11%","95.96%","63","1.73%","4.04%","1,561","3.01%"
"9 to 9.99 years","1,377","2.86%","95.89%","59","1.62%","4.11%","1,436","2.77%"
"10 to 10.99 years","1,029","2.13%","96.08%","42","1.15%","3.92%","1,071","2.07%"
"11 to 11.99 years","1,022","2.12%","96.69%","35","0.96%","3.31%","1,057","2.04%"
"12 to 12.99 years","852","1.77%","97.48%","22","0.60%","2.52%","874","1.69%"
"13 to 13.99 years","743","1.54%","96.37%","28","0.77%","3.63%","771","1.49%"
"14 to 14.99 years","655","1.36%","97.04%","20","0.55%","2.96%","675","1.30%"
"15 to 15.99 years","579","1.20%","96.34%","22","0.60%","3.66%","601","1.16%"
"16 to 16.99 years","415","0.86%","96.74%","14","0.38%","3.26%","429","0.83%"
"17 to 17.99 years","416","0.86%","96.74%","14","0.38%","3.26%","430","0.83%"
"18 to 18.99 years","361","0.75%","96.52%","13","0.36%","3.48%","374","0.72%"
"19 to 19.99 years","272","0.56%","97.84%","6","0.16%","2.16%","278","0.54%"
"20 to 20.99 years","218","0.45%","95.61%","10","0.27%","4.39%","228","0.44%"
"21 to 21.99 years","199","0.41%","98.03%","4","0.11%","1.97%","203","0.39%"
"22 to 22.99 years","148","0.31%","99.33%","1","0.03%","0.67%","149","0.29%"
"23 to 23.99 years","138","0.29%","98.57%","2","0.05%","1.43%","140","0.27%"
"24 to 24.99 years","116","0.24%","95.87%","5","0.14%","4.13%","121","0.23%"
"25 to 25.99 years","78","0.16%","98.73%","1","0.03%","1.27%","79","0.15%"
"26 to 26.99 years","68","0.14%","98.55%","1","0.03%","1.45%","69","0.13%"
"27 to 27.99 years","64","0.13%","100.00%","","","","64","0.12%"
"28 to 28.99 years","57","0.12%","98.28%","1","0.03%","1.72%","58","0.11%"
"29 to 29.99 years","37","0.08%","100.00%","","","","37","0.07%"
"Thirty + years","170","0.35%","98.84%","2","0.05%","1.16%","172","0.33%"
"Total Reported","48,208","100%","92.96%","3,649","100%","7.04%","51,857","100.0%"
"Not Reported","819",,,"43",,,"862",
"Grand Total","49,027",,,"3,692",,,"52,719",
