"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","7,965","16.66%","89.50%","934","27.80%","10.50%","8,899","17.39%"
"1 to 1.99 years","10,132","21.19%","91.07%","994","29.58%","8.93%","11,126","21.74%"
"2 to 2.99 years","6,689","13.99%","93.53%","463","13.78%","6.47%","7,152","13.98%"
"3 to 3.99 years","3,966","8.29%","94.88%","214","6.37%","5.12%","4,180","8.17%"
"4 to 4.99 years","2,894","6.05%","95.70%","130","3.87%","4.30%","3,024","5.91%"
"5 to 5.99 years","2,220","4.64%","94.91%","119","3.54%","5.09%","2,339","4.57%"
"6 to 6.99 years","2,024","4.23%","96.24%","79","2.35%","3.76%","2,103","4.11%"
"7 to 7.99 years","1,657","3.47%","95.50%","78","2.32%","4.50%","1,735","3.39%"
"8 to 8.99 years","1,563","3.27%","95.95%","66","1.96%","4.05%","1,629","3.18%"
"9 to 9.99 years","1,519","3.18%","96.14%","61","1.82%","3.86%","1,580","3.09%"
"10 to 10.99 years","1,138","2.38%","96.60%","40","1.19%","3.40%","1,178","2.30%"
"11 to 11.99 years","937","1.96%","97.60%","23","0.68%","2.40%","960","1.88%"
"12 to 12.99 years","779","1.63%","96.29%","30","0.89%","3.71%","809","1.58%"
"13 to 13.99 years","696","1.46%","96.80%","23","0.68%","3.20%","719","1.40%"
"14 to 14.99 years","686","1.43%","96.08%","28","0.83%","3.92%","714","1.40%"
"15 to 15.99 years","448","0.94%","96.76%","15","0.45%","3.24%","463","0.90%"
"16 to 16.99 years","444","0.93%","96.94%","14","0.42%","3.06%","458","0.89%"
"17 to 17.99 years","383","0.80%","96.23%","15","0.45%","3.77%","398","0.78%"
"18 to 18.99 years","276","0.58%","97.53%","7","0.21%","2.47%","283","0.55%"
"19 to 19.99 years","273","0.57%","96.81%","9","0.27%","3.19%","282","0.55%"
"20 to 20.99 years","204","0.43%","98.08%","4","0.12%","1.92%","208","0.41%"
"21 to 21.99 years","155","0.32%","99.36%","1","0.03%","0.64%","156","0.30%"
"22 to 22.99 years","143","0.30%","98.62%","2","0.06%","1.38%","145","0.28%"
"23 to 23.99 years","117","0.24%","95.90%","5","0.15%","4.10%","122","0.24%"
"24 to 24.99 years","85","0.18%","98.84%","1","0.03%","1.16%","86","0.17%"
"25 to 25.99 years","79","0.17%","98.75%","1","0.03%","1.25%","80","0.16%"
"26 to 26.99 years","67","0.14%","98.53%","1","0.03%","1.47%","68","0.13%"
"27 to 27.99 years","60","0.13%","98.36%","1","0.03%","1.64%","61","0.12%"
"28 to 28.99 years","37","0.08%","97.37%","1","0.03%","2.63%","38","0.07%"
"29 to 29.99 years","44","0.09%","100.00%","","","","44","0.09%"
"Thirty + years","137","0.29%","99.28%","1","0.03%","0.72%","138","0.27%"
"Total Reported","47,817","100%","93.43%","3,360","100%","6.57%","51,177","100%"
"Not Reported","2,723",,,"211",,,"2,934",
"Grand Total","50,540",,,"3,571",,,"54,111",
