"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","7,959","16.31%","87.60%","1,127","30.30%","12.40%","9,086","17.30%"
"1 to 1.99 years","10,095","20.69%","90.96%","1,001","26.91%","9.02%","11,098","21.14%"
"2 to 2.99 years","6,927","14.20%","93.13%","511","13.74%","6.87%","7,438","14.17%"
"3 to 3.99 years","4,416","9.05%","93.94%","285","7.66%","6.06%","4,701","8.95%"
"4 to 4.99 years","3,059","6.27%","94.74%","170","4.57%","5.26%","3,229","6.15%"
"5 to 5.99 years","2,030","4.16%","95.89%","87","2.34%","4.11%","2,117","4.03%"
"6 to 6.99 years","1,849","3.79%","95.65%","84","2.26%","4.35%","1,933","3.68%"
"7 to 7.99 years","1,647","3.38%","95.87%","71","1.91%","4.13%","1,718","3.27%"
"8 to 8.99 years","1,482","3.04%","95.55%","69","1.85%","4.45%","1,551","2.95%"
"9 to 9.99 years","1,338","2.74%","96.19%","53","1.42%","3.81%","1,391","2.65%"
"10 to 10.99 years","990","2.03%","95.74%","44","1.18%","4.26%","1,034","1.97%"
"11 to 11.99 years","913","1.87%","96.11%","37","0.99%","3.89%","950","1.81%"
"12 to 12.99 years","918","1.88%","96.94%","29","0.78%","3.06%","947","1.80%"
"13 to 13.99 years","788","1.62%","97.65%","19","0.51%","2.35%","807","1.54%"
"14 to 14.99 years","697","1.43%","96.81%","23","0.62%","3.19%","720","1.37%"
"15 to 15.99 years","553","1.13%","96.34%","21","0.56%","3.66%","574","1.09%"
"16 to 16.99 years","543","1.11%","96.11%","22","0.59%","3.89%","565","1.08%"
"17 to 17.99 years","414","0.85%","97.18%","12","0.32%","2.82%","426","0.81%"
"18 to 18.99 years","388","0.80%","97.00%","12","0.32%","3.00%","400","0.76%"
"19 to 19.99 years","342","0.70%","96.61%","12","0.32%","3.39%","354","0.67%"
"20 to 20.99 years","218","0.45%","97.32%","6","0.16%","2.68%","224","0.43%"
"21 to 21.99 years","205","0.42%","96.70%","7","0.19%","3.30%","212","0.40%"
"22 to 22.99 years","189","0.39%","96.43%","7","0.19%","3.57%","196","0.37%"
"23 to 23.99 years","140","0.29%","100.00%","","","","140","0.27%"
"24 to 24.99 years","137","0.28%","97.86%","3","0.08%","2.14%","140","0.27%"
"25 to 25.99 years","104","0.21%","96.30%","4","0.11%","3.70%","108","0.21%"
"26 to 26.99 years","82","0.17%","98.80%","1","0.03%","1.20%","83","0.16%"
"27 to 27.99 years","55","0.11%","100.00%","","","","55","0.10%"
"28 to 28.99 years","62","0.13%","100.00%","","","","62","0.12%"
"29 to 29.99 years","45","0.09%","97.83%","1","0.03%","2.17%","46","0.09%"
"Thirty + years","202","0.41%","99.02%","2","0.05%","0.98%","204","0.39%"
"Total Reported","48,787","100%","92.91%","3,720","100%","7.08%","52,509","100%"
"Not Reported","805",,,"51",,,"856",
"Grand Total","49,592",,,"3,771",,,"53,365",
