"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","7,507","15.59%","87.36%","1,086","29.88%","12.64%","8,593","16.59%"
"1 to 1.99 years","10,512","21.82%","90.82%","1,063","29.24%","9.18%","11,575","22.34%"
"2 to 2.99 years","6,638","13.78%","93.26%","480","13.20%","6.74%","7,118","13.74%"
"3 to 3.99 years","4,318","8.96%","94.71%","241","6.63%","5.29%","4,559","8.80%"
"4 to 4.99 years","2,845","5.91%","95.60%","131","3.60%","4.40%","2,976","5.74%"
"5 to 5.99 years","2,179","4.52%","95.70%","98","2.70%","4.30%","2,277","4.40%"
"6 to 6.99 years","1,916","3.98%","95.47%","91","2.50%","4.53%","2,007","3.87%"
"7 to 7.99 years","1,725","3.58%","95.78%","76","2.09%","4.22%","1,801","3.48%"
"8 to 8.99 years","1,492","3.10%","95.89%","64","1.76%","4.11%","1,556","3.00%"
"9 to 9.99 years","1,371","2.85%","95.81%","60","1.65%","4.19%","1,431","2.76%"
"10 to 10.99 years","1,008","2.09%","95.91%","43","1.18%","4.09%","1,051","2.03%"
"11 to 11.99 years","1,042","2.16%","96.75%","35","0.96%","3.25%","1,077","2.08%"
"12 to 12.99 years","841","1.75%","97.68%","20","0.55%","2.32%","861","1.66%"
"13 to 13.99 years","747","1.55%","96.76%","25","0.69%","3.24%","772","1.49%"
"14 to 14.99 years","648","1.35%","96.43%","24","0.66%","3.57%","672","1.30%"
"15 to 15.99 years","591","1.23%","96.10%","24","0.66%","3.90%","615","1.19%"
"16 to 16.99 years","431","0.89%","96.85%","14","0.39%","3.15%","445","0.86%"
"17 to 17.99 years","411","0.85%","96.93%","13","0.36%","3.07%","424","0.82%"
"18 to 18.99 years","362","0.75%","96.28%","14","0.39%","3.72%","376","0.73%"
"19 to 19.99 years","271","0.56%","98.19%","5","0.14%","1.81%","276","0.53%"
"20 to 20.99 years","222","0.46%","96.52%","8","0.22%","3.48%","230","0.44%"
"21 to 21.99 years","200","0.42%","96.62%","7","0.19%","3.38%","207","0.40%"
"22 to 22.99 years","147","0.31%","100.00%","","","","147","0.28%"
"23 to 23.99 years","144","0.30%","97.96%","3","0.08%","2.04%","147","0.28%"
"24 to 24.99 years","116","0.24%","96.67%","4","0.11%","3.33%","120","0.23%"
"25 to 25.99 years","82","0.17%","97.62%","2","0.06%","2.38%","84","0.16%"
"26 to 26.99 years","59","0.12%","100.00%","","","","59","0.11%"
"27 to 27.99 years","76","0.16%","98.70%","1","0.03%","1.30%","77","0.15%"
"28 to 28.99 years","52","0.11%","98.11%","1","0.03%","1.89%","53","0.10%"
"29 to 29.99 years","42","0.09%","100.00%","","","","42","0.08%"
"Thirty + years","172","0.36%","98.85%","2","0.06%","1.15%","174","0.34%"
"Total Reported","48,167","100%","92.98%","3,635","100%","7.02%","51,802","100%"
"Not Reported","805",,,"42",,,"847",
"Grand Total","48,972",,,"3,677",,,"52,649",
