"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","8,490","17.94%","88.71%","1,081","31.66%","11.29%","9,571","18.86%"
"1 to 1.99 years","9,996","21.12%","91.05%","982","28.76%","8.95%","10,978","21.63%"
"2 to 2.99 years","5,967","12.61%","93.88%","389","11.39%","6.12%","6,356","12.53%"
"3 to 3.99 years","3,885","8.21%","94.92%","208","6.09%","5.08%","4,093","8.07%"
"4 to 4.99 years","2,977","6.29%","95.08%","154","4.51%","4.92%","3,131","6.17%"
"5 to 5.99 years","2,362","4.99%","95.74%","105","3.08%","4.26%","2,467","4.86%"
"6 to 6.99 years","1,942","4.10%","95.76%","86","2.52%","4.24%","2,028","4.00%"
"7 to 7.99 years","1,791","3.78%","95.78%","79","2.31%","4.22%","1,870","3.69%"
"8 to 8.99 years","1,694","3.58%","96.09%","69","2.02%","3.91%","1,763","3.47%"
"9 to 9.99 years","1,646","3.48%","96.65%","57","1.67%","3.35%","1,703","3.36%"
"10 to 10.99 years","1,003","2.12%","97.28%","28","0.82%","2.72%","1,031","2.03%"
"11 to 11.99 years","868","1.83%","96.34%","33","0.97%","3.66%","901","1.78%"
"12 to 12.99 years","752","1.59%","96.53%","27","0.79%","3.47%","779","1.54%"
"13 to 13.99 years","717","1.51%","96.37%","27","0.79%","3.63%","744","1.47%"
"14 to 14.99 years","546","1.15%","96.81%","18","0.53%","3.19%","564","1.11%"
"15 to 15.99 years","483","1.02%","97.18%","14","0.41%","2.82%","497","0.98%"
"16 to 16.99 years","378","0.80%","95.70%","17","0.50%","4.30%","395","0.78%"
"17 to 17.99 years","305","0.64%","98.07%","6","0.18%","1.93%","311","0.61%"
"18 to 18.99 years","288","0.61%","96.64%","10","0.29%","3.36%","298","0.59%"
"19 to 19.99 years","236","0.50%","97.93%","5","0.15%","2.07%","241","0.47%"
"20 to 20.99 years","179","0.38%","97.81%","4","0.12%","2.19%","183","0.36%"
"21 to 21.99 years","150","0.32%","97.40%","4","0.12%","2.60%","154","0.30%"
"22 to 22.99 years","121","0.26%","96.03%","5","0.15%","3.97%","126","0.25%"
"23 to 23.99 years","86","0.18%","98.85%","1","0.03%","1.15%","87","0.17%"
"24 to 24.99 years","93","0.20%","97.89%","2","0.06%","2.11%","95","0.19%"
"25 to 25.99 years","84","0.18%","100.00%","","","","84","0.17%"
"26 to 26.99 years","66","0.14%","98.51%","1","0.03%","1.49%","67","0.13%"
"27 to 27.99 years","43","0.09%","97.73%","1","0.03%","2.27%","44","0.09%"
"28 to 28.99 years","42","0.09%","100.00%","","","","42","0.08%"
"29 to 29.99 years","38","0.08%","100.00%","","","","38","0.07%"
"Thirty + years","104","0.22%","99.05%","1","0.03%","0.95%","105","0.21%"
"Total Reported","47,332","100%","93.27%","3,414","100%","6.73%","50,746","100.0%"
"Not Reported","1,557",,,"154",,,"1,711",
"Grand Total","48,889",,,"3,568",,,"52,457",
