"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,714","19.19%","91.09%","950","24.86%","8.91%","10,664","19.59%"
"1 to 1.99 years","7,457","14.73%","91.17%","722","18.90%","8.83%","8,179","15.02%"
"2 to 2.99 years","5,357","10.58%","91.25%","514","13.45%","8.75%","5,871","10.78%"
"3 to 3.99 years","4,292","8.48%","92.16%","365","9.55%","7.84%","4,657","8.55%"
"4 to 4.99 years","3,485","6.89%","92.32%","290","7.59%","7.68%","3,775","6.93%"
"5 to 5.99 years","2,906","5.74%","93.20%","212","5.55%","6.80%","3,118","5.73%"
"6 to 6.99 years","2,126","4.20%","94.66%","120","3.14%","5.34%","2,246","4.13%"
"7 to 7.99 years","2,007","3.97%","94.58%","115","3.01%","5.42%","2,122","3.90%"
"8 to 8.99 years","1,630","3.22%","95.66%","74","1.94%","4.34%","1,704","3.13%"
"9 to 9.99 years","1,710","3.38%","95.26%","85","2.22%","4.74%","1,795","3.30%"
"10 to 10.99 years","1,123","2.22%","95.33%","55","1.44%","4.67%","1,178","2.16%"
"11 to 11.99 years","854","1.69%","94.99%","45","1.18%","5.01%","899","1.65%"
"12 to 12.99 years","737","1.46%","95.71%","33","0.86%","4.29%","770","1.41%"
"13 to 13.99 years","730","1.44%","95.18%","37","0.97%","4.82%","767","1.41%"
"14 to 14.99 years","659","1.30%","95.92%","28","0.73%","4.08%","687","1.26%"
"15 to 15.99 years","570","1.13%","97.10%","17","0.44%","2.90%","587","1.08%"
"16 to 16.99 years","539","1.06%","95.57%","25","0.65%","4.43%","564","1.04%"
"17 to 17.99 years","466","0.92%","95.49%","22","0.58%","4.51%","488","0.90%"
"18 to 18.99 years","482","0.95%","96.02%","20","0.52%","3.98%","502","0.92%"
"19 to 19.99 years","528","1.04%","97.60%","13","0.34%","2.40%","541","0.99%"
"20 to 20.99 years","406","0.80%","97.60%","10","0.26%","2.40%","416","0.76%"
"21 to 21.99 years","362","0.72%","96.53%","13","0.34%","3.47%","375","0.69%"
"22 to 22.99 years","322","0.64%","97.28%","9","0.24%","2.72%","331","0.61%"
"23 to 23.99 years","306","0.60%","97.14%","9","0.24%","2.86%","315","0.58%"
"24 to 24.99 years","227","0.45%","97.01%","7","0.18%","2.99%","234","0.43%"
"25 to 25.99 years","237","0.47%","96.34%","9","0.24%","3.66%","246","0.45%"
"26 to 26.99 years","158","0.31%","96.34%","6","0.16%","3.66%","164","0.30%"
"27 to 27.99 years","130","0.26%","98.48%","2","0.05%","1.52%","132","0.24%"
"28 to 28.99 years","150","0.30%","98.04%","3","0.08%","1.96%","153","0.28%"
"29 to 29.99 years","116","0.23%","100.00%","","","","116","0.21%"
"Thirty + years","830","1.64%","98.69%","11","0.29%","1.31%","841","1.54%"
"Total Reported","50,616","100%","92.98%","3,821","100%","7.02%","54,437","100%"
"Not Reported","65",,,"3",,,"68",
"Grand Total","50,681",,,"3,824",,,"54,505",
