"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","8,832","17.70%","91.07%","866","23.24%","8.93%","9,698","18.09%"
"1 to 1.99 years","7,418","14.87%","90.93%","740","19.86%","9.07%","8,158","15.21%"
"2 to 2.99 years","5,479","10.98%","91.09%","536","14.39%","8.91%","6,015","11.22%"
"3 to 3.99 years","4,073","8.16%","93.59%","279","7.49%","6.41%","4,352","8.12%"
"4 to 4.99 years","3,384","6.78%","93.69%","228","6.12%","6.31%","3,612","6.74%"
"5 to 5.99 years","2,560","5.13%","92.42%","210","5.64%","7.58%","2,770","5.17%"
"6 to 6.99 years","2,202","4.41%","94.34%","132","3.54%","5.66%","2,334","4.35%"
"7 to 7.99 years","1,967","3.94%","93.62%","134","3.60%","6.38%","2,101","3.92%"
"8 to 8.99 years","1,785","3.58%","95.00%","94","2.52%","5.00%","1,879","3.50%"
"9 to 9.99 years","1,473","2.95%","94.24%","90","2.42%","5.76%","1,563","2.91%"
"10 to 10.99 years","1,074","2.15%","94.21%","66","1.77%","5.79%","1,140","2.13%"
"11 to 11.99 years","920","1.84%","96.23%","36","0.97%","3.77%","956","1.78%"
"12 to 12.99 years","978","1.96%","95.69%","44","1.18%","4.31%","1,022","1.91%"
"13 to 13.99 years","799","1.60%","95.92%","34","0.91%","4.08%","833","1.55%"
"14 to 14.99 years","684","1.37%","95.26%","34","0.91%","4.74%","718","1.34%"
"15 to 15.99 years","509","1.02%","95.50%","24","0.64%","4.50%","533","0.99%"
"16 to 16.99 years","504","1.01%","95.09%","26","0.70%","4.91%","530","0.99%"
"17 to 17.99 years","499","1.00%","94.87%","27","0.72%","5.13%","526","0.98%"
"18 to 18.99 years","444","0.89%","97.16%","13","0.35%","2.84%","457","0.85%"
"19 to 19.99 years","440","0.88%","97.78%","10","0.27%","2.22%","450","0.84%"
"20 to 20.99 years","368","0.74%","94.60%","21","0.56%","5.40%","389","0.73%"
"21 to 21.99 years","299","0.60%","94.92%","16","0.43%","5.08%","315","0.59%"
"22 to 22.99 years","382","0.77%","97.45%","10","0.27%","2.55%","392","0.73%"
"23 to 23.99 years","340","0.68%","97.70%","8","0.21%","2.30%","348","0.65%"
"24 to 24.99 years","324","0.65%","96.43%","12","0.32%","3.57%","336","0.63%"
"25 to 25.99 years","301","0.60%","97.10%","9","0.24%","2.90%","310","0.58%"
"26 to 26.99 years","252","0.51%","97.67%","6","0.16%","2.33%","258","0.48%"
"27 to 27.99 years","187","0.37%","98.42%","3","0.08%","1.58%","190","0.35%"
"28 to 28.99 years","174","0.35%","96.67%","6","0.16%","3.33%","180","0.34%"
"29 to 29.99 years","143","0.29%","98.62%","2","0.05%","1.38%","145","0.27%"
"Thirty + years","1,103","2.21%","99.10%","10","0.27%","0.90%","1,113","2.08%"
"Total Reported","49,897","100%","93.05%","3,726","100%","6.95%","53,623","100.0%"
"Not Reported","24",,,"1",,,"25",
"Grand Total","49,921",,,"3,727",,,"53,648",
