"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","4,662","10.70%","91.84%","414","13.97%","8.16%","5,076","10.91%"
"1 to 1.99 years","6,683","15.34%","91.59%","614","20.72%","8.41%","7,297","15.68%"
"2 to 2.99 years","4,758","10.92%","91.20%","459","15.49%","8.80%","5,217","11.21%"
"3 to 3.99 years","4,009","9.20%","92.99%","302","10.19%","7.01%","4,311","9.27%"
"4 to 4.99 years","3,075","7.06%","94.38%","183","6.17%","5.62%","3,258","7.00%"
"5 to 5.99 years","2,512","5.77%","93.87%","164","5.53%","6.13%","2,676","5.75%"
"6 to 6.99 years","2,131","4.89%","93.34%","152","5.13%","6.66%","2,283","4.91%"
"7 to 7.99 years","1,860","4.27%","94.90%","100","3.37%","5.10%","1,960","4.21%"
"8 to 8.99 years","1,629","3.74%","94.43%","96","3.24%","5.57%","1,725","3.71%"
"9 to 9.99 years","1,441","3.31%","95.62%","66","2.23%","4.38%","1,507","3.24%"
"10 to 10.99 years","1,114","2.56%","94.89%","60","2.02%","5.11%","1,174","2.52%"
"11 to 11.99 years","952","2.19%","95.30%","47","1.59%","4.70%","999","2.15%"
"12 to 12.99 years","793","1.82%","96.00%","33","1.11%","4.00%","826","1.78%"
"13 to 13.99 years","884","2.03%","96.19%","35","1.18%","3.81%","919","1.98%"
"14 to 14.99 years","692","1.59%","96.51%","25","0.84%","3.49%","717","1.54%"
"15 to 15.99 years","577","1.32%","94.59%","33","1.11%","5.41%","610","1.31%"
"16 to 16.99 years","461","1.06%","95.45%","22","0.74%","4.55%","483","1.04%"
"17 to 17.99 years","481","1.10%","95.82%","21","0.71%","4.18%","502","1.08%"
"18 to 18.99 years","460","1.06%","94.26%","28","0.94%","5.74%","488","1.05%"
"19 to 19.99 years","432","0.99%","97.52%","11","0.37%","2.48%","443","0.95%"
"20 to 20.99 years","353","0.81%","97.25%","10","0.34%","2.75%","363","0.78%"
"21 to 21.99 years","336","0.77%","95.18%","17","0.57%","4.82%","353","0.76%"
"22 to 22.99 years","298","0.68%","95.21%","15","0.51%","4.79%","313","0.67%"
"23 to 23.99 years","341","0.78%","97.15%","10","0.34%","2.85%","351","0.75%"
"24 to 24.99 years","332","0.76%","97.36%","9","0.30%","2.64%","341","0.73%"
"25 to 25.99 years","304","0.70%","97.75%","7","0.24%","2.25%","311","0.67%"
"26 to 26.99 years","275","0.63%","98.21%","5","0.17%","1.79%","280","0.60%"
"27 to 27.99 years","223","0.51%","96.96%","7","0.24%","3.04%","230","0.49%"
"28 to 28.99 years","170","0.39%","98.27%","3","0.10%","1.73%","173","0.37%"
"29 to 29.99 years","166","0.38%","97.08%","5","0.17%","2.92%","171","0.37%"
"Thirty + years","1,158","2.66%","99.06%","11","0.37%","0.94%","1,169","2.51%"
"Total Reported","43,562","100%","93.63%","2,964","100%","6.37%","46,526","100%"
"Not Reported","10",,,"0",,,"10",
"Grand Total","43,572",,,"2,964",,,"46,536",
