"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,988","20.11%","90.59%","1,037","29.34%","9.41%","11,025","20.72%"
"1 to 1.99 years","7,469","15.04%","91.70%","676","19.12%","8.30%","8,145","15.31%"
"2 to 2.99 years","5,622","11.32%","92.42%","461","13.04%","7.58%","6,083","11.43%"
"3 to 3.99 years","4,437","8.93%","93.53%","307","8.68%","6.47%","4,744","8.92%"
"4 to 4.99 years","3,090","6.22%","94.01%","197","5.57%","5.99%","3,287","6.18%"
"5 to 5.99 years","2,558","5.15%","93.94%","165","4.67%","6.06%","2,723","5.12%"
"6 to 6.99 years","2,262","4.55%","94.92%","121","3.42%","5.08%","2,383","4.48%"
"7 to 7.99 years","2,041","4.11%","95.37%","99","2.80%","4.63%","2,140","4.02%"
"8 to 8.99 years","1,579","3.18%","95.12%","81","2.29%","4.88%","1,660","3.12%"
"9 to 9.99 years","1,270","2.56%","95.35%","62","1.75%","4.65%","1,332","2.50%"
"10 to 10.99 years","888","1.79%","95.28%","44","1.24%","4.72%","932","1.75%"
"11 to 11.99 years","918","1.85%","95.23%","46","1.30%","4.77%","964","1.81%"
"12 to 12.99 years","757","1.52%","95.82%","33","0.93%","4.18%","790","1.49%"
"13 to 13.99 years","742","1.49%","97.25%","21","0.59%","2.75%","763","1.43%"
"14 to 14.99 years","669","1.35%","96.12%","27","0.76%","3.88%","696","1.31%"
"15 to 15.99 years","530","1.07%","95.32%","26","0.74%","4.68%","556","1.05%"
"16 to 16.99 years","581","1.17%","96.67%","20","0.57%","3.33%","601","1.13%"
"17 to 17.99 years","607","1.22%","97.12%","18","0.51%","2.88%","625","1.17%"
"18 to 18.99 years","500","1.01%","96.71%","17","0.48%","3.29%","517","0.97%"
"19 to 19.99 years","460","0.93%","97.87%","10","0.28%","2.13%","470","0.88%"
"20 to 20.99 years","362","0.73%","95.01%","19","0.54%","4.99%","381","0.72%"
"21 to 21.99 years","306","0.62%","98.08%","6","0.17%","1.92%","312","0.59%"
"22 to 22.99 years","259","0.52%","95.93%","11","0.31%","4.07%","270","0.51%"
"23 to 23.99 years","262","0.53%","97.40%","7","0.20%","2.60%","269","0.51%"
"24 to 24.99 years","179","0.36%","96.76%","6","0.17%","3.24%","185","0.35%"
"25 to 25.99 years","170","0.34%","98.84%","2","0.06%","1.16%","172","0.32%"
"26 to 26.99 years","158","0.32%","96.93%","5","0.14%","3.07%","163","0.31%"
"27 to 27.99 years","116","0.23%","100.00%","","","","116","0.22%"
"28 to 28.99 years","105","0.21%","98.13%","2","0.06%","1.87%","107","0.20%"
"29 to 29.99 years","83","0.17%","97.65%","2","0.06%","2.35%","85","0.16%"
"Thirty + years","694","1.40%","99.00%","7","0.20%","1.00%","701","1.32%"
"Total Reported","49,662","100%","93.35%","3,535","100%","6.65%","53,197","100%"
"Not Reported","0",,,"0",,,"0",
"Grand Total","49,662",,,"3,535",,,"53,197",
