"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","9,889","19.93%","91.11%","965","27.79%","8.89%","10,854","20.44%"
"1 to 1.99 years","7,480","15.07%","91.54%","691","19.90%","8.46%","8,171","15.39%"
"2 to 2.99 years","5,775","11.64%","92.73%","453","13.04%","7.27%","6,228","11.73%"
"3 to 3.99 years","4,358","8.78%","93.64%","296","8.52%","6.36%","4,654","8.76%"
"4 to 4.99 years","3,078","6.20%","93.56%","212","6.10%","6.44%","3,290","6.20%"
"5 to 5.99 years","2,532","5.10%","93.99%","162","4.66%","6.01%","2,694","5.07%"
"6 to 6.99 years","2,377","4.79%","95.16%","121","3.48%","4.84%","2,498","4.70%"
"7 to 7.99 years","1,990","4.01%","95.08%","103","2.97%","4.92%","2,093","3.94%"
"8 to 8.99 years","1,556","3.14%","94.99%","82","2.36%","5.01%","1,638","3.08%"
"9 to 9.99 years","1,262","2.54%","95.32%","62","1.79%","4.68%","1,324","2.49%"
"10 to 10.99 years","906","1.83%","94.57%","52","1.50%","5.43%","958","1.80%"
"11 to 11.99 years","926","1.87%","95.76%","41","1.18%","4.24%","967","1.82%"
"12 to 12.99 years","747","1.51%","96.26%","29","0.84%","3.74%","776","1.46%"
"13 to 13.99 years","747","1.51%","97.01%","23","0.66%","2.99%","770","1.45%"
"14 to 14.99 years","654","1.32%","95.89%","28","0.81%","4.11%","682","1.28%"
"15 to 15.99 years","557","1.12%","95.70%","25","0.72%","4.30%","582","1.10%"
"16 to 16.99 years","587","1.18%","97.02%","18","0.52%","2.98%","605","1.14%"
"17 to 17.99 years","599","1.21%","97.08%","18","0.52%","2.92%","617","1.16%"
"18 to 18.99 years","506","1.02%","97.12%","15","0.43%","2.88%","521","0.98%"
"19 to 19.99 years","446","0.90%","97.38%","12","0.35%","2.62%","458","0.86%"
"20 to 20.99 years","369","0.74%","95.10%","19","0.55%","4.90%","388","0.73%"
"21 to 21.99 years","288","0.58%","97.30%","8","0.23%","2.70%","296","0.56%"
"22 to 22.99 years","269","0.54%","96.42%","10","0.29%","3.58%","279","0.53%"
"23 to 23.99 years","242","0.49%","97.58%","6","0.17%","2.42%","248","0.47%"
"24 to 24.99 years","181","0.36%","97.31%","5","0.14%","2.69%","186","0.35%"
"25 to 25.99 years","175","0.35%","99.43%","1","0.03%","0.57%","176","0.33%"
"26 to 26.99 years","151","0.30%","96.79%","5","0.14%","3.21%","156","0.29%"
"27 to 27.99 years","111","0.22%","100.00%","","","","111","0.21%"
"28 to 28.99 years","103","0.21%","97.17%","3","0.09%","2.83%","106","0.20%"
"29 to 29.99 years","83","0.17%","98.81%","1","0.03%","1.19%","84","0.16%"
"Thirty + years","684","1.38%","98.99%","7","0.20%","1.01%","691","1.30%"
"Total Reported","49,628","100%","93.46%","3,473","100%","6.54%","53,101","100%"
"Not Reported","27",,,"3",,,"30",
"Grand Total","49,655",,,"3,476",,,"53,131",
