"Years Served","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Less than one year","10,069","20.27%","90.35%","1,076","30.28%","9.65%","11,145","20.93%"
"1 to 1.99 years","7,553","15.20%","91.84%","671","18.89%","8.16%","8,224","15.45%"
"2 to 2.99 years","5,512","11.09%","92.53%","445","12.52%","7.47%","5,957","11.19%"
"3 to 3.99 years","4,423","8.90%","93.67%","299","8.42%","6.33%","4,722","8.87%"
"4 to 4.99 years","3,069","6.18%","93.62%","209","5.88%","6.38%","3,278","6.16%"
"5 to 5.99 years","2,571","5.17%","94.18%","159","4.48%","5.82%","2,730","5.13%"
"6 to 6.99 years","2,153","4.33%","94.68%","121","3.41%","5.32%","2,274","4.27%"
"7 to 7.99 years","2,057","4.14%","95.85%","89","2.50%","4.15%","2,146","4.03%"
"8 to 8.99 years","1,615","3.25%","94.61%","92","2.59%","5.39%","1,707","3.21%"
"9 to 9.99 years","1,289","2.59%","95.48%","61","1.72%","4.52%","1,350","2.54%"
"10 to 10.99 years","895","1.80%","95.72%","40","1.13%","4.28%","935","1.76%"
"11 to 11.99 years","894","1.80%","95.01%","47","1.32%","4.99%","941","1.77%"
"12 to 12.99 years","753","1.52%","95.80%","33","0.93%","4.20%","786","1.48%"
"13 to 13.99 years","747","1.50%","97.01%","23","0.65%","2.99%","770","1.45%"
"14 to 14.99 years","675","1.36%","95.74%","30","0.84%","4.26%","705","1.32%"
"15 to 15.99 years","534","1.07%","95.87%","23","0.65%","4.13%","557","1.05%"
"16 to 16.99 years","561","1.13%","96.23%","22","0.62%","3.77%","583","1.10%"
"17 to 17.99 years","604","1.22%","97.42%","16","0.45%","2.58%","620","1.16%"
"18 to 18.99 years","518","1.04%","96.64%","18","0.51%","3.36%","536","1.01%"
"19 to 19.99 years","460","0.93%","97.66%","11","0.31%","2.34%","471","0.88%"
"20 to 20.99 years","359","0.72%","95.73%","16","0.45%","4.27%","375","0.70%"
"21 to 21.99 years","329","0.66%","97.63%","8","0.23%","2.37%","337","0.63%"
"22 to 22.99 years","257","0.52%","95.90%","11","0.31%","4.10%","268","0.50%"
"23 to 23.99 years","255","0.51%","96.59%","9","0.25%","3.41%","264","0.50%"
"24 to 24.99 years","186","0.37%","96.88%","6","0.17%","3.13%","192","0.36%"
"25 to 25.99 years","171","0.34%","98.84%","2","0.06%","1.16%","173","0.32%"
"26 to 26.99 years","164","0.33%","97.62%","4","0.11%","2.38%","168","0.32%"
"27 to 27.99 years","122","0.25%","99.19%","1","0.03%","0.81%","123","0.23%"
"28 to 28.99 years","104","0.21%","99.05%","1","0.03%","0.95%","105","0.20%"
"29 to 29.99 years","79","0.16%","97.53%","2","0.06%","2.47%","81","0.15%"
"Thirty + years","708","1.42%","98.88%","8","0.23%","1.12%","716","1.34%"
"Total Reported","49,686","100%","93.33%","3,553","100%","6.67%","53,239","100.0%"
"Not Reported","36",,,"4",,,"40",
"Grand Total","49,722",,,"3,557",,,"53,279",
